,0,1
0,give,1
1,perfectly,1
2,went,3
3,almost,1
4,seek,1
5,parrot,1
6,well,3
7,fine,1
8,wood,1
9,skin,1
10,blockhead,1
11,nightfall,1
12,fast,2
13,beautiful,5
14,great,2
15,trudged,1
16,left,1
17,wife,2
18,instead,1
19,handoh,1
20,worth,2
21,without,1
22,pound,2
23,saw,4
24,lived,1
25,ruined,1
26,gave,1
27,instantly,1
28,voice,1
29,butter,1
30,trembled,2
31,forward,1
32,say,2
33,finger,2
34,joy,1
35,forest,1
36,fortune,3
37,milker,1
38,gladly,1
39,bob,1
40,mr,23
41,take,3
42,cow,10
43,leaving,1
44,returned,1
45,every,2
46,underneath,1
47,love,1
48,followed,2
49,posse,1
50,met,2
51,length,1
52,stout,1
53,stretched,1
54,market,1
55,weary,1
56,backwards,1
57,parting,1
58,found,1
59,foolish,1
60,laid,1
61,threw,1
62,terror,1
63,shall,6
64,felt,1
65,divide,1
66,mind,3
67,violent,1
68,bill,1
69,alive,2
70,agrees,1
71,happy,1
72,rage,1
73,letting,1
74,put,1
75,done,3
76,fell,1
77,tried,1
78,tired,3
79,red,3
80,giving,1
81,bone,1
82,boy,1
83,accordingly,1
84,bird,1
85,happiest,4
86,broke,1
87,pocketing,2
88,live,1
89,go,2
90,used,1
91,grew,2
92,nothing,1
93,might,1
94,thought,2
95,man,16
96,day,3
97,many,1
98,content,1
99,let,1
100,pair,3
101,rushed,1
102,near,1
103,much,2
104,truly,1
105,ill,1
106,one,2
107,leg,1
108,simpleton,1
109,changed,3
110,door,5
111,brought,1
112,comfortablymr,1
113,agony,1
114,sweeping,1
115,fancy,1
116,guinea,4
117,knocked,1
118,disturbed,1
119,thump,1
120,would,1
121,yes,3
122,onequarter,1
123,asleepmiddle,1
124,bottle,1
125,dared,1
126,sell,1
127,ear,1
128,make,3
129,broad,1
130,neighbouring,1
131,perfect,1
132,hed,1
133,unlucky,1
134,warm,2
135,oh,4
136,lift,1
137,glove,9
138,wonderful,1
139,home,1
140,husbandseeing,1
141,bagpipewalked,1
142,cudgelling,1
143,drove,1
144,tree,4
145,number,1
146,given,1
147,u,1
148,head,2
149,thief,2
150,climb,1
151,alive—my,1
152,hand,2
153,fair,3
154,falling,1
155,money,9
156,aliveoffer,1
157,owner,1
158,band,1
159,play,2
160,peltingpoor,1
161,rare,1
162,bargain,1
163,longer,1
164,could,3
165,exchangedrew,1
166,show,1
167,fortunewalked,1
168,long,1
169,whole,1
170,follow,1
171,jumped,1
172,deal,2
173,homewardslast,1
174,sooner,1
175,poor,2
176,tell,1
177,like,2
178,cut,1
179,lodged,1
180,way,1
181,see,2
182,entered,1
183,capital,1
184,busily,1
185,made,4
186,able,1
187,vinegar,26
188,three,1
189,dont,3
190,housewife,1
191,broom,1
192,ten,1
193,stick,8
194,excellent,1
195,five,1
196,joyfully,1
197,forty,3
198,coming,1
199,poundmr,1
200,bagpipes—tweedledum,1
201,listen,1
202,side,1
203,drag,1
204,onetenth,1
205,said,15
206,possible,1
207,till,1
208,sound,2
209,cheese,1
210,purchase,1
211,thick,2
212,quit,1
213,daylightscrambled,1
214,instrument,3
215,hooting,1
216,heard,1
217,towards,1
218,playing,1
219,here,3
220,walked,1
221,laughing,1
222,forth,2
223,showbyandby,1
224,bagpipe,5
225,scampered,1
226,saymr,1
227,arrived,1
228,meet,1
229,seem,1
230,tweedledee,1
231,november,1
232,child,1
233,limb,1
234,delighted,1
235,sure,1
236,penny,1
237,buying,1
238,away,1
239,clitterclatter,2
240,exclaimed,1
241,calling,1
242,mile,1
243,you—you,1
244,piece,1
245,bootyjack,1
246,miserable,2
247,hedge,1
248,horror,1
249,got,5
250,grief,1
251,buy,1
252,friend,8
253,must,1
254,vain,1
255,tune,1
256,night,1
257,town,2
258,dear,2
259,retreat,1
260,name,1
261,golden,1
262,dismay,1
263,come,3
264,back,1
265,good,4
266,madewent,1
267,oblige,1
268,fool,1
269,appeared,1
270,laughed,2
271,shook,1
272,cried,4
273,house,3
274,cold,3
