,0,1
0,better,1
1,animal,1
2,hearth,1
3,cloak,2
4,year,1
5,seen,1
6,kind,2
7,still,1
8,ah,1
9,bury,2
10,saw,2
11,lived,1
12,dancing,1
13,slain,1
14,know,1
15,say,1
16,servant,3
17,hairy,1
18,treasure,2
19,cream,1
20,late,1
21,rake,1
22,easy,1
23,redcap,2
24,told,1
25,jack,1
26,enough,1
27,throw,1
28,chair,1
29,kid,1
30,laid,1
31,fire,1
32,ago,1
33,beer,1
34,acoming,1
35,contrariest,1
36,newly,1
37,service,1
38,however,1
39,turn,1
40,aught,1
41,cruel,1
42,lamb,1
43,watch,1
44,peeping,1
45,go,1
46,scatter,1
47,watched,1
48,man,1
49,hood,2
50,pepper,1
51,much,1
52,topsyturvy,1
53,one,2
54,isnt,1
55,leg,1
56,asked,1
57,saltcellar,1
58,hilton,2
59,would,5
60,sometimes,1
61,never,1
62,ear,1
63,make,1
64,stopped,1
65,chain,1
66,oh,1
67,awaywell,1
68,fro,1
69,lincoln,1
70,gone,1
71,kitchen,2
72,honey,1
73,table,1
74,temper,1
75,play,1
76,frisk,1
77,green,1
78,then—,1
79,swinging,1
80,could,1
81,long,1
82,clear,1
83,poor,1
84,else,1
85,made,1
86,dont,1
87,funny,1
88,little,1
89,world,1
90,spread,1
91,pity,1
92,goblin,1
93,said,1
94,everything,2
95,paid,1
96,perishable,1
97,hall,2
98,heard,2
99,knew,1
100,sort,1
101,everybody,1
102,tidy,1
103,knuckle,1
104,frighten,1
105,noise,1
106,thing,2
107,sayingvanished,1
108,asaying,1
109,send,1
110,bed,1
111,prank,1
112,bowl,1
113,nearest,1
114,course,1
115,seeing,1
116,pointed,1
117,drop,1
118,cake,1
119,brownie,10
120,away,3
121,afterwards,1
122,ever,1
123,sugar,1
124,night,2
125,mischief,2
126,half,2
127,blood,1
128,come,1
129,back,1
130,bogle,2
131,good,1
132,thats,3
133,henwife,2
134,whats,3
135,sayingtook,1
136,hide,1
137,put,4
