,0,1
0,hadnt,1
1,shant,2
2,fingerwell,1
3,morning,3
4,horrid,1
5,couldsaid,1
6,gavewhats,1
7,hobby,1
8,laughsayawhy,1
9,lastwell,1
10,embest,1
11,place,1
12,aint,6
13,spinningwheel,2
14,say,33
15,girl,5
16,stool,3
17,help,1
18,cant,1
19,keep,1
20,best,1
21,forgotten,1
22,done,1
23,however,1
24,leave,1
25,go,3
26,nothing,2
27,took,2
28,day,9
29,wont,1
30,let,1
31,gowell,1
32,ill,6
33,next,2
34,tailned,1
35,wonderful,1
36,month,7
37,head,1
38,everythingill,1
39,could,1
40,tell,2
41,skeinsolomon,1
42,there,1
43,satwell,1
44,three,1
45,first,1
46,passage,1
47,businesswell,1
48,get,4
49,yetnicodemus,1
50,sing,1
51,tonight,2
52,tailwell,2
53,company,2
54,comegirl,1
55,thing,6
56,pretending,1
57,saynoo,7
58,begin,1
59,girlsay,1
60,black,5
61,sure,2
62,minewell,1
63,began,2
64,married,1
65,gatless,1
66,awful,1
67,theyll,2
68,crust,2
69,saynever,1
70,acryingwont,1
71,cryhowever,1
72,ahunting,1
73,upped,3
74,oo,1
75,seen,1
76,fast,1
77,skein,10
78,quiet,1
79,look,3
80,saw,1
81,shell,1
82,saywell,2
83,pay,1
84,locked,1
85,every,5
86,eat,4
87,trying,1
88,gown,2
89,pie,4
90,today,1
91,hear,2
92,law,2
93,methusalem,1
94,shall,3
95,felt,2
96,ledgewheres,1
97,forgottenwell,1
98,overbaked,1
99,sangking,1
100,wonder,1
101,thought,3
102,thered,1
103,insteadstar,1
104,flax,9
105,shed,3
106,much,1
107,mark,1
108,one,8
109,door,2
110,faster,2
111,dare,1
112,corner,1
113,upon,1
114,hed,2
115,shut,1
116,saysammle,1
117,stopped,1
118,kitchen,1
119,king,2
120,humming,1
121,seetake,1
122,sangwell,1
123,spun,3
124,ashamed,1
125,youre,2
126,jumped,1
127,like,4
128,way,1
129,wholly,1
130,saylooked,1
131,see,4
132,harder,1
133,five,8
134,little,9
135,worst,1
136,work,1
137,said,7
138,impet,4
139,maliceful,2
140,small,1
141,think,2
142,sort,2
143,guesslast,1
144,victual,1
145,ate,2
146,sitting,1
147,food,2
148,fastwhats,1
149,twirled,7
150,—she,1
151,hard,1
152,liked,3
153,good,3
154,another,1
155,grand,1
156,window,4
157,put,1
158,give,1
159,went,4
160,em,8
161,along,2
162,well,3
163,skin,1
164,wood,1
165,step,1
166,pointing,1
167,wife,1
168,doorhed,1
169,theyve,1
170,end,1
171,pane,1
172,nigh,1
173,comeone,1
174,always,1
175,gave,3
176,kill,2
177,joy,1
178,getting,2
179,take,2
180,want,1
181,enough,1
182,word,1
183,marriage,1
184,fire,1
185,saybill,1
186,suppercant,1
187,used,1
188,pit,1
189,headll,1
190,comewell,1
191,street,1
192,saidacryingwhats,1
193,brought,2
194,sat,2
195,low,1
196,hardly,2
197,would,1
198,never,5
199,evening,2
200,daughter,2
201,curious,1
202,gone,1
203,dish,1
204,spin,3
205,likeliest,1
206,tail,7
207,husband,2
208,harm,1
209,two,2
210,knocking,4
211,dont,3
212,armsay,1
213,coming,2
214,till,2
215,taint,5
216,heard,8
217,set,3
218,towards,1
219,killright,1
220,marry,1
221,roundwell,1
222,daughterdarter,1
223,away,5
224,saylook,1
225,suppertime,1
226,coal,1
227,funniest,1
228,got,4
229,ever,1
230,noo,1
231,womanwoman,1
232,eaten,1
233,last,4
234,name,6
235,windowupped,1
236,back,1
237,guess,4
238,mouthful,1
239,thats,11
240,plenty,1
241,didnt,2
242,sayawell,1
243,year,2
244,kind,1
245,hit,1
246,afeardnoo,1
247,oven,1
248,roomwell,1
249,supper,2
250,know,3
251,havent,2
252,flew,1
253,wordnext,1
254,shriek,1
255,tomorrow,4
256,dark,1
257,room,2
258,frightened,1
259,backed,1
260,eleven,2
261,saydont,1
262,told,1
263,gavewell,1
264,saidsinging,1
265,stretched,1
266,reckon,1
267,couldnt,2
268,softgirl,1
269,sang,2
270,mind,2
271,right,5
272,spinning,2
273,oped,4
274,time,4
275,baked,1
276,twirling,2
277,old,3
278,woman,7
279,keeptime,1
280,sudden,1
281,came,12
282,ready,2
283,bring,2
284,flewwell,2
285,eye,4
286,ear,2
287,goaway,1
288,saidaint,1
289,grinning,1
290,long,1
291,meant,1
292,ledge,1
293,emhowever,1
294,nightwhats,1
295,guessed,1
296,youll,4
297,neither,1
298,round,1
299,handwell,1
300,span,2
301,mine,3
302,motherone,1
303,looked,5
304,foodthere,1
305,ive,1
306,night,8
307,dear,3
308,id,1
309,come,11
310,shelf,1
311,saysay,1
312,laughed,2
313,stop,1
314,agreeright,1
315,chalkpit,1
316,zebedee,1
