,0,1
0,awakened,1
1,give,1
2,went,5
3,stair,1
4,gone,1
5,grave,1
6,clothes,3
7,bone,4
8,boneteenytiny,2
9,head,3
10,cupboard,4
11,tired,1
12,time,4
13,loudest,1
14,bed,1
15,soup,1
16,bonemade,1
17,houseteenytiny,1
18,day,1
19,village,1
20,gate,2
21,teenytiny,57
22,saw,1
23,lived,1
24,sleep,4
25,hid,2
26,woman,13
27,supper,1
28,bit,2
29,way,1
30,came,1
31,voice,4
32,saidgive,1
33,one,1
34,loudergive,1
35,got,2
36,churchyard,2
37,louder,1
38,bonnet,1
39,take,2
40,pocket,1
41,frightened,3
42,upon,1
43,walk,1
44,said,3
45,opened,1
46,make,1
47,cried,1
48,home,2
49,house,3
50,put,4
51,self,1
