,0,1
0,hollow,1
1,arm,5
2,glided,1
3,dug,1
4,wife,3
5,redwithered,1
6,saw,1
7,lived,1
8,thy,4
9,longest,1
10,rich,2
11,happily,1
12,funeral,1
13,pulled,1
14,cheek,1
15,treasure,1
16,plain,1
17,room,1
18,face,1
19,rosy,1
20,pretty,1
21,hast,1
22,found,1
23,mind,1
24,right,1
25,middle,1
26,land,1
27,drew,1
28,done,4
29,bedside,1
30,red,1
31,thought,2
32,man,2
33,dead,1
34,old,1
35,though,1
36,woman,1
37,gold,1
38,one,2
39,replied,1
40,otherwise,1
41,search,1
42,together,1
43,lipwithered,1
44,would,1
45,reproachfully,1
46,spoke,1
47,travelled,1
48,knowfollowing,1
49,home,1
50,died,1
51,thou,4
52,fonder,1
53,afraid,1
54,wasted,3
55,hairwithered,1
56,stalking,1
57,asleep,1
58,fair,1
59,falling,1
60,pillow,1
61,blackest,1
62,could,1
63,solid,1
64,body,1
65,poor,1
66,cut,1
67,husband,1
68,gift,1
69,young,2
70,possessed,1
71,said,1
72,besideslast,1
73,think,1
74,tonehast,1
75,ghost,3
76,fortunate,1
77,curtain,1
78,pretending,1
79,awayhast,2
80,meet,1
81,black,1
82,wished,1
83,away,1
84,married,1
85,looked,1
86,people,1
87,got,1
88,night,2
89,last,1
90,golden,5
91,hide,1
92,hurried,1
93,put,2
