,0,1
0,give,1
1,stay,1
2,went,1
3,treesaid,1
4,along,1
5,barred,1
6,better,1
7,well,3
8,piper,2
9,party,2
10,fine,2
11,secret,1
12,moment,1
13,herb,1
14,swan,2
15,spell,3
16,noble,1
17,year,2
18,left,1
19,great,2
20,swooped,1
21,wife,2
22,beautiful,1
23,heron,6
24,born,1
25,setting,1
26,startled,1
27,dancer,2
28,saw,3
29,lived,3
30,played,1
31,coaxed,1
32,powerwell,1
33,dancing,1
34,tossing,1
35,know,2
36,always,1
37,overhead,1
38,garden,1
39,flew,9
40,mother,8
41,girl,1
42,say,1
43,happily,1
44,roomoh,1
45,swore,1
46,ala,1
47,tomorrow,2
48,locked,1
49,flying,2
50,daynever,1
51,spied,1
52,take,1
53,oath,1
54,pet,1
55,muttering,1
56,every,2
57,eat,1
58,crossed,1
59,smoothed,1
60,neck,2
61,taking,1
62,white,3
63,blue,1
64,love,1
65,slowly,1
66,teacher,1
67,pretty,2
68,unless,1
69,brave,1
70,today,1
71,pale,1
72,sight,1
73,bride,3
74,found,1
75,cave,2
76,word,3
77,power,1
78,suddenly,2
79,ago,1
80,cooing,1
81,cage,1
82,shall,2
83,big,1
84,windowsill,1
85,goodbye,1
86,swanlets,1
87,going,1
88,rage,1
89,thinking,1
90,happy,2
91,bearing,1
92,castle,6
93,done,2
94,cygnetwithout,1
95,turn,1
96,time,4
97,turned,1
98,menatarms,2
99,boy,2
100,bird,5
101,leave,1
102,reach,1
103,live,1
104,took,3
105,seven,4
106,man,4
107,day,4
108,sea,4
109,sleep,1
110,let,2
111,perhaps,1
112,bridegroom,3
113,scarcely,1
114,oak,1
115,near,1
116,minstrel,1
117,came,8
118,around,1
119,ill,3
120,twist,1
121,wondered,1
122,one,5
123,lastly,1
124,yet,1
125,changed,2
126,door,2
127,brought,3
128,safety,1
129,hour,2
130,sat,1
131,disturbed,1
132,magic,3
133,low,1
134,hurry,1
135,together,1
136,would,2
137,upon,2
138,never,3
139,settled,1
140,wooing,1
141,hush,1
142,daughter,5
143,wed,1
144,tied,1
145,oh,1
146,sported,1
147,home,3
148,dove,5
149,degree,1
150,sprightly,1
151,feather,2
152,tree,3
153,became,1
154,father,2
155,carried,2
156,alighting,1
157,summer,1
158,gathered,1
159,rose,2
160,startle,1
161,green,1
162,charge,1
163,queen,6
164,glad,1
165,could,3
166,ostree,2
167,weddineers,2
168,coomydove,4
169,birdie,1
170,birdname,1
171,jumped,1
172,tell,1
173,twentyfour,3
174,husband,1
175,thus,1
176,world,1
177,he,1
178,high,2
179,young,3
180,first,2
181,jig,1
182,trouble,1
183,florentine,8
184,stately,1
185,beneath,1
186,roomday,1
187,little,4
188,far,1
189,sore,1
190,mighty,1
191,coomydovefather,1
192,deep,3
193,listen,1
194,side,2
195,stamped,1
196,may,2
197,church,1
198,goshawk,6
199,earl,7
200,wedding,2
201,past,1
202,walk,1
203,said,10
204,among,1
205,dashed,1
206,bonny,3
207,till,5
208,walldancer,1
209,swoop,1
210,men,1
211,round,1
212,lose,1
213,abroad,1
214,comehush,1
215,air,2
216,sads,1
217,knew,1
218,moved,1
219,wish,1
220,cygnet,2
221,oneseven,1
222,something,1
223,towards,1
224,here,1
225,moaning,1
226,dearmarried,1
227,pipe,1
228,marry,2
229,spaewife,1
230,branch,2
231,bed,1
232,sitting,1
233,dayson,1
234,called,1
235,tripping,1
236,grey,2
237,handsome,1
238,turning,1
239,whispered,1
240,sure,1
241,placed,1
242,wished,2
243,become,2
244,nestling,1
245,away,8
246,shoulder,1
247,prince,7
248,afterwards,1
249,timemother,1
250,surely,1
251,looked,2
252,fly,1
253,music,2
254,disappeared,1
255,mar,7
256,got,1
257,burning,1
258,friend,1
259,settling,1
260,passed,1
261,ever,3
262,son,4
263,night,4
264,dear,5
265,dance,1
266,golden,1
267,come,6
268,happylove,1
269,pressed,1
270,leaderala,1
271,circling,1
272,back,2
273,stop,1
274,thing,1
275,quite,2
276,scattering,1
277,shade,1
