,0,1
0,give,3
1,saidplease,3
2,went,4
3,seek,1
4,along,2
5,brick,3
6,hillwolf,1
7,morning,2
8,pot,1
9,great,1
10,without,1
11,four,1
12,apple,1
13,saw,4
14,lived,1
15,supper,1
16,know,2
17,gave,1
18,applewell,1
19,comehair,2
20,piglittle,1
21,oclockwell,1
22,fortune,1
23,tomorrow,2
24,pigmerrygarden,1
25,mr,1
26,huffed,4
27,frightened,4
28,ran,2
29,eat,1
30,pig,32
31,told,1
32,afternoon,1
33,pigthird,1
34,appleyes,1
35,keep,1
36,met,3
37,enough,1
38,bundle,2
39,wolf,15
40,found,1
41,throw,1
42,call,1
43,churn,1
44,fire,1
45,shall,1
46,felt,1
47,sow,1
48,readylittle,1
49,going,2
50,happy,1
51,suppose,1
52,fell,1
53,shanklin,1
54,time,3
55,turned,1
56,puffed,6
57,saidlittle,7
58,usual,1
59,appletreesaid,1
60,go,3
61,took,1
62,thought,1
63,man,6
64,day,1
65,comepig,1
66,old,1
67,let,3
68,bought,2
69,much,2
70,came,8
71,ill,6
72,ready,3
73,sent,1
74,next,2
75,house,8
76,hill,2
77,door,1
78,replied,1
79,chinill,2
80,turnip,1
81,knocked,1
82,saidhah,1
83,together,1
84,build,3
85,readythree,1
86,would,3
87,yes,1
88,butterchurn,2
89,pigsecond,1
90,nice,4
91,home,3
92,houseman,3
93,instant,1
94,gone,1
95,tree,1
96,chin,3
97,climb,1
98,furze,2
99,fair,4
100,gooh,2
101,could,3
102,jumped,1
103,househuffed,2
104,tell,1
105,load,1
106,full,1
107,made,1
108,three,1
109,straw,2
110,first,1
111,puffing,1
112,five,2
113,coming,4
114,water,1
115,far,1
116,little,24
117,may,1
118,answeredhair,1
119,blew,2
120,past,1
121,get,5
122,said,6
123,pick,1
124,hoping,1
125,answeredill,1
126,round,2
127,six,2
128,presently,1
129,oclock,2
130,declared,1
131,rolled,2
132,housewell,1
133,thing,1
134,dinnerwolf,1
135,bustled,1
136,ate,3
137,smith,1
138,dinnerwell,1
139,cover,2
140,angry,2
141,deceive,1
142,puff,3
143,chimney,1
144,field,1
145,turnipsaid,1
146,somehow,1
147,afterwards,1
148,built,3
149,blazing,1
150,blow,4
151,pigoh,1
152,huff,3
153,got,6
154,ever,1
155,mean,1
156,indeed,1
157,last,1
158,huffing,1
159,come,2
160,boiled,1
161,back,2
162,homefield,1
163,chinwolf,1
164,potful,1
165,hide,1
166,onethrew,1
167,chiny,3
168,put,1
169,hung,1
