,0,1
0,didnt,3
1,give,1
2,went,9
3,arm,1
4,along,2
5,well,2
6,clothes,1
7,sad,1
8,cleaning,2
9,fine,2
10,ouse,2
11,fate,3
12,noble,4
13,year,3
14,york,2
15,great,2
16,beautiful,1
17,wife,1
18,hut,2
19,started,1
20,four,1
21,born,1
22,letterdear,2
23,matter,1
24,saw,4
25,wandered,1
26,lived,2
27,written,1
28,doleful,1
29,maid,1
30,mouth,1
31,know,3
32,hutone,1
33,gave,3
34,letter,4
35,surprise,1
36,girl,15
37,scarborough,4
38,sixth,1
39,servant,1
40,fortune,1
41,paper,1
42,downhearted,1
43,help,1
44,take,2
45,wanted,1
46,shine,1
47,easy,1
48,dinner,1
49,told,1
50,saydont,1
51,daysoon,1
52,immediatelyaffectionatelyalbertsoon,1
53,already,2
54,shame,1
55,face,1
56,beauty,1
57,handed,1
58,bearer,2
59,tidied,1
60,hark,1
61,throw,1
62,found,3
63,threw,2
64,begone,1
65,horoscope,1
66,ye,1
67,big,1
68,going,1
69,right,1
70,happy,1
71,castle,5
72,done,1
73,true,1
74,lowly,1
75,botherthank,1
76,bidding,1
77,time,2
78,north,1
79,boy,1
80,desire,1
81,broke,1
82,used,1
83,go,1
84,begged,1
85,took,8
86,thought,2
87,man,4
88,day,4
89,spare,1
90,wont,1
91,lass,3
92,thumb,1
93,sea,1
94,old,2
95,saying,1
96,let,2
97,fisherman,4
98,thrown,1
99,fifteen,2
100,girlone,1
101,robber,2
102,hunting,1
103,gold,2
104,came,4
105,captain,1
106,ill,2
107,one,5
108,honour,1
109,brother,5
110,door,1
111,dye,1
112,brought,2
113,order,1
114,asked,2
115,book,1
116,plotted,1
117,inside,1
118,surprised,1
119,yokel,1
120,would,6
121,agobaron,1
122,hallbanqueters,1
123,upon,1
124,never,2
125,settled,1
126,stopped,1
127,make,1
128,opened,1
129,wed,1
130,home,1
131,life,2
132,kitchen,2
133,tower,1
134,staying,1
135,given,1
136,pas,2
137,cook,2
138,sink,1
139,father,2
140,death,1
141,noticed,1
142,huge,1
143,table,2
144,temper,1
145,hand,1
146,money,1
147,kindly,1
148,kept,1
149,band,1
150,companion,1
151,show,1
152,glad,1
153,nicely,1
154,could,3
155,cooked,3
156,poor,2
157,countrie,1
158,tell,1
159,husband,1
160,way,1
161,see,6
162,rode,4
163,scullion,1
164,made,1
165,ring,5
166,searched,1
167,young,1
168,trouble,1
169,fish,4
170,five,2
171,slept,1
172,coming,1
173,borndont,1
174,little,7
175,washed,1
176,mighty,1
177,may,1
178,drink,1
179,find,1
180,castlelittle,1
181,wedding,1
182,sigh,1
183,pity,1
184,bank,2
185,get,2
186,said,12
187,walk,1
188,work,3
189,everything,1
190,till,5
191,front,1
192,mounted,1
193,happened,1
194,alone,1
195,gopoor,1
196,wrote,1
197,immediatelyaffectionatelyalbertgave,1
198,hall,1
199,horse,2
200,prepared,1
201,knew,3
202,set,2
203,whatever,1
204,wish,1
205,think,1
206,fact,1
207,something,1
208,announced,1
209,company,1
210,marry,2
211,shadow,1
212,sir,2
213,cast,2
214,send,1
215,picked,1
216,sitting,1
217,called,2
218,child,2
219,handsome,1
220,sure,1
221,ashore,1
222,fight,1
223,brother—take,2
224,away,3
225,married,1
226,guest,1
227,minster,1
228,cliff,2
229,afterwards,1
230,looked,1
231,baron,17
232,read,2
233,ho,1
234,dismounted,1
235,knight,1
236,hard,1
237,got,2
238,inn,2
239,passed,1
240,magician,1
241,ive,1
242,son,7
243,servedwell,1
244,bread,1
245,night,2
246,ever,1
247,pen,1
248,floated,2
249,happen,1
250,last,3
251,liked,1
252,come,4
253,dismay,1
254,fill,1
255,thinkoh,1
256,boiled,1
257,back,2
258,guess,1
259,good,1
260,violence,1
261,seat,1
262,thats,3
263,river,4
264,thing,3
265,house,4
266,put,4
267,anything,1
