,0,1
0,master,5
1,went,2
2,kit,1
3,something,1
4,cracker,2
5,put,1
6,wet,1
7,pointing,4
8,sir,1
9,sirthats,1
10,saysaid,1
11,fire,1
12,fair,1
13,mountainnight,1
14,waterwater,1
15,flame,1
16,took,1
17,engaged,1
18,mountain,1
19,topper,2
20,pointed,1
21,barnacle,2
22,hot,3
23,mister,1
24,bedbed,1
25,old,1
26,tail,1
27,please,7
28,spark,1
29,cockalorum,3
30,couch,1
31,squib,2
32,call,9
33,sirmust,4
34,catcat,1
35,funnylooking,1
36,teach,1
37,househouse,1
38,woke,1
39,girl,1
40,callfire,1
41,trouser,1
42,servant,2
43,high,2
44,got,2
45,fright,1
46,must,1
47,asked,1
48,callmaster,1
49,cottage,1
50,whitefaced,2
51,name,2
52,last,1
53,hire,1
54,gentleman,1
55,told,1
56,simminy,2
57,would,3
58,get,2
59,said,2
60,pantaloonbreech,1
61,thingsaid,1
62,showing,1
63,unless,1
64,thats,1
65,pondalorum,1
66,home,1
67,house,2
68,sirpondalorum,1
69,whatever,7
