,0,1
0,went,6
1,seek,6
2,hadnt,1
3,wood,1
4,morning,1
5,great,1
6,still,1
7,started,1
8,look,2
9,saw,1
10,place,1
11,gave,2
12,goat,3
13,spend,1
14,flew,1
15,wait,1
16,dreadful,1
17,dark,2
18,window,1
19,frightened,1
20,told,3
21,jack,16
22,keep,1
23,met,5
24,knittingneedles,1
25,fortunemay,5
26,sight,1
27,bedbyandby,1
28,word,2
29,upstairs,2
30,tried,1
31,bullgoing,2
32,flail,1
33,time,3
34,boy,1
35,go,4
36,took,1
37,man,3
38,cockadoodledo,1
39,old,1
40,woman,1
41,sit,1
42,robber,4
43,came,3
44,rooster,2
45,ready,1
46,sent,1
47,one,2
48,bleated,1
49,jiggeltyjoltwell,1
50,mewed,1
51,cat,3
52,knocked,2
53,together,1
54,would,1
55,cellar,2
56,knitting,1
57,knowshouldnt,1
58,make,1
59,gone,1
60,afraid,1
61,catgoing,2
62,table,3
63,money,3
64,kept,1
65,fortunehadnt,1
66,awl,1
67,minded,1
68,could,2
69,long,1
70,rockingchair,2
71,goatgoing,2
72,storywent,1
73,awaywent,1
74,made,1
75,fright,1
76,axe,1
77,far,1
78,little,5
79,knowstarted,2
80,mee,2
81,shoemaker,1
82,said,11
83,dog,3
84,till,2
85,chuck,2
86,goyes,5
87,merrierwent,5
88,think,1
89,bull,3
90,doggoing,2
91,noise,2
92,stuck,2
93,bed,1
94,chopping,1
95,top,1
96,course,1
97,roostergoing,2
98,began,1
99,knowwent,1
100,jiggeltyjolt,6
101,looked,1
102,roof,1
103,named,1
104,counting,1
105,night,2
106,bellowed,1
107,crowed,1
108,come,1
109,possession,1
110,fellow,1
111,back,5
112,ahollering,1
113,barked,1
114,threshing,1
115,jiggeltyjoltwent,3
116,house,5
117,put,4
