,0,1
0,didnt,2
1,went,7
2,hadnt,1
3,clothes,1
4,dangerous,1
5,quite,1
6,horrid,3
7,morning,2
8,fast,1
9,left,1
10,fall,5
11,beautiful,1
12,wife,1
13,started,4
14,friendly,1
15,kind,1
16,without,1
17,settle,1
18,try,1
19,matter,4
20,farmhouse,1
21,look,7
22,saw,1
23,grass,5
24,tumbled,2
25,coaxed,1
26,fastened,1
27,shell,1
28,supper,2
29,drawer,1
30,knob,1
31,weight,1
32,kill,4
33,lot,1
34,mother,5
35,floor,3
36,say,6
37,silly,5
38,girl,1
39,chest,1
40,pulled,2
41,manage,2
42,dreadful,4
43,getting,1
44,abused,1
45,take,1
46,cow,6
47,cottage,1
48,room,2
49,rake,2
50,every,2
51,ran,1
52,eat,1
53,trying,1
54,neck,3
55,handkerchief,1
56,cant,3
57,told,1
58,face,1
59,worse,1
60,start,1
61,met,1
62,enough,1
63,knowing,1
64,throw,1
65,found,1
66,couldnt,1
67,jug,1
68,beam,1
69,shall,2
70,upstairs,1
71,beer,11
72,big,3
73,goodbye,1
74,lost,1
75,going,1
76,best,1
77,happy,1
78,letting,1
79,suppose,4
80,im,2
81,tried,1
82,tired,1
83,time,2
84,turned,2
85,wonder,2
86,used,2
87,go,3
88,live,1
89,nothing,1
90,thought,3
91,man,2
92,traveller,1
93,many,1
94,hot,1
95,village,2
96,quick,1
97,grow,4
98,sleep,1
99,smothered,1
100,part,1
101,woman,5
102,jump,1
103,much,1
104,came,2
105,wouldnt,1
106,outside,1
107,ill,1
108,wondered,1
109,sent,1
110,one,4
111,cry,3
112,sweetheartwell,1
113,burst,3
114,trouser,2
115,asked,2
116,drawing,2
117,lookye,1
118,hour,1
119,sat,5
120,surprised,1
121,gentleman,11
122,safe,1
123,together,1
124,would,5
125,cellar,7
126,acrying,4
127,stopping,1
128,upon,1
129,never,3
130,pushed,1
131,sweetheart,1
132,evening,2
133,stopped,1
134,travelled,2
135,daughter,7
136,tied,3
137,oh,3
138,running,3
139,home,2
140,wrist,3
141,string,3
142,gone,2
143,kitchen,1
144,acryingwell,1
145,travel,3
146,shamefully,1
147,farmer,2
148,pas,1
149,alaughing,3
150,father,3
151,head,4
152,noticed,1
153,couldwhole,1
154,hang,1
155,reached,1
156,durst,1
157,bigger,2
158,sillygentleman,2
159,pleasant,1
160,could,1
161,long,4
162,run,2
163,flooroh,1
164,poor,2
165,like,1
166,cut,1
167,courted,1
168,tap,1
169,wiped,1
170,way,2
171,candle,1
172,see,4
173,full,1
174,two,2
175,three,7
176,draw,6
177,broom,1
178,water,1
179,far,1
180,strangled,1
181,aside,2
182,sootwell,1
183,side,2
184,find,1
185,invented,1
186,showed,1
187,listen,1
188,get,6
189,said,9
190,happened,1
191,round,4
192,easier,1
193,whatever,4
194,set,1
195,wayanother,1
196,think,2
197,reaching,1
198,ladder,2
199,acryinggentleman,1
200,marry,1
201,mine,1
202,shadow,1
203,doublebedded,1
204,stuck,2
205,bed,1
206,obliged,1
207,sitting,2
208,chimney,3
209,sky,1
210,moon,1
211,bit,1
212,began,4
213,married,5
214,wished,1
215,away,1
216,somehow,1
217,mile,1
218,anyhow,1
219,ceiling,1
220,mallet,10
221,pitchfork,1
222,roof,3
223,people,1
224,got,5
225,must,1
226,inn,2
227,passed,1
228,crowd,1
229,ive,1
230,son,4
231,ever,2
232,night,1
233,dear,6
234,pond,4
235,last,3
236,halfway,1
237,tie,2
238,come,7
239,fellow,1
240,back,3
241,another,1
242,awkwardest,1
243,growing,1
244,thats,1
245,across,1
246,stop,2
247,thing,6
248,straight,1
249,house,1
250,put,3
251,hung,1
252,athinking,1
