,0,1
0,give,3
1,stay,1
2,went,10
3,answer,3
4,ground,1
5,seek,2
6,along,1
7,third,3
8,deliverance,1
9,well,4
10,thanked,1
11,dangerous,2
12,morning,2
13,widow,1
14,fate,1
15,fast,1
16,patched,1
17,great,4
18,kind,1
19,wife,4
20,soon,3
21,monstrous,1
22,beautiful,1
23,started,1
24,without,3
25,prisoner,1
26,four,1
27,rest,1
28,bridge,1
29,ettin,7
30,look,3
31,saw,2
32,end,2
33,imprisoned,1
34,lived,2
35,travellad,1
36,place,2
37,question,4
38,mouth,1
39,answered,1
40,gave,5
41,overjoyed,1
42,meeting,1
43,crymonster,1
44,happily,1
45,mother,4
46,rust,1
47,floor,1
48,pulled,1
49,fortune,2
50,dreadful,1
51,gladly,1
52,take,5
53,ettins,1
54,admitted,1
55,stonemorning,1
56,sense,1
57,every,3
58,frightened,1
59,ran,1
60,room,1
61,told,6
62,afternoon,1
63,wand,3
64,byandby,2
65,certain,1
66,keep,1
67,met,1
68,enough,1
69,gotwent,1
70,pillar,2
71,sight,1
72,knowing,1
73,shepherd,2
74,found,2
75,touch,1
76,laid,1
77,power,1
78,vanished,1
79,fire,2
80,lad,2
81,carrying,1
82,monster,2
83,upstairs,1
84,rusty,1
85,espied,1
86,curse,1
87,preference,1
88,best,1
89,thinking,1
90,put,3
91,castle,4
92,service,1
93,however,2
94,tired,1
95,red,2
96,time,2
97,shelter,1
98,turned,1
99,grieved,1
100,accordingly,1
101,whose,1
102,stone,1
103,might,10
104,go,1
105,took,9
106,grew,1
107,living,3
108,thought,1
109,man,17
110,day,6
111,seenyoung,1
112,dead,3
113,many,1
114,sea,1
115,old,8
116,part,1
117,open,2
118,woman,6
119,chose,1
120,much,1
121,came,9
122,outside,1
123,ill,1
124,brown,1
125,rightly,1
126,one,4
127,next,4
128,magical,1
129,yet,4
130,brother,5
131,asked,9
132,door,3
133,escape,1
134,brought,1
135,foot,1
136,knocked,2
137,sat,1
138,amongst,1
139,herding,1
140,different,1
141,inside,1
142,low,1
143,bring,2
144,continued,1
145,would,7
146,terrible,2
147,hillock,1
148,knife,2
149,hole,2
150,upon,1
151,sheep,4
152,care,1
153,opened,1
154,telling,1
155,make,1
156,travelled,1
157,daughter,4
158,lay,1
159,running,2
160,home,3
161,blessing,2
162,multitude,1
163,instant,2
164,broken,1
165,kitchen,1
166,travel,2
167,gone,2
168,life,2
169,king,4
170,farmer,1
171,answercame,1
172,afraid,1
173,dim,1
174,head,12
175,desiring,1
176,bringing,1
177,horn,1
178,standing,2
179,owner,1
180,belonged,2
181,bigger,1
182,show,1
183,could,6
184,glad,1
185,wall,1
186,court,1
187,long,3
188,whole,5
189,clear,1
190,sooner,1
191,deal,1
192,poor,1
193,like,2
194,beside,1
195,tell,1
196,way,3
197,riddle,2
198,see,1
199,sail,1
200,delivered,1
201,two,2
202,malison,3
203,able,2
204,three,4
205,made,1
206,axe,1
207,young,13
208,first,2
209,water,9
210,stood,2
211,far,2
212,little,1
213,rented,1
214,aside,1
215,sore,1
216,struck,1
217,find,1
218,sayingquickly,1
219,bade,1
220,beseeched,1
221,lady,2
222,get,4
223,said,9
224,second,2
225,johnnycake,2
226,till,1
227,answeredshepherd,1
228,filled,1
229,wide,1
230,circumstance,1
231,provision,1
232,happened,1
233,farther,1
234,daunted,1
235,everything,1
236,men,1
237,hewed,1
238,heard,1
239,hold,1
240,small,4
241,knew,3
242,set,1
243,also,3
244,raven,1
245,large,1
246,ship,1
247,younger,1
248,company,1
249,thing,2
250,spared,2
251,forth,1
252,willing,1
253,send,1
254,hidinghole,1
255,befallenyoung,1
256,sitting,2
257,journey,2
258,meet,1
259,use,1
260,fairy,2
261,devour,1
262,bowl,1
263,seeing,1
264,noble,1
265,eldest,1
266,rather,1
267,cake,9
268,sure,1
269,requested,1
270,smaller,2
271,bit,2
272,away,9
273,married,1
274,beast,6
275,gallant,1
276,mallet,1
277,piece,1
278,bake,2
279,awful,1
280,ought,1
281,got,2
282,beware,1
283,flock,1
284,roaring,1
285,son,2
286,clay,1
287,night,2
288,half,3
289,happen,1
290,last,1
291,come,4
292,back,2
293,good,2
294,boldly,1
295,whats,4
296,carry,1
297,stop,1
298,hide,1
299,warned,1
300,cried,1
301,run,2
