,0,1
0,didnt,2
1,went,23
2,along,18
3,ducky,1
4,hadnt,2
5,tellthe,1
6,agoing,1
7,left,1
8,fall,1
9,soon,1
10,without,1
11,picking,1
12,hit,1
13,hrumph,4
14,turkeylurkey,18
15,know,1
16,kill,1
17,say,8
18,snap,2
19,cornyard,1
20,wait,1
21,afallingwent,3
22,dark,2
23,ran,1
24,told,1
25,fallingwent,1
26,met,5
27,cave,4
28,threw,1
29,shall,1
30,hennypenny,30
31,going,10
32,im,1
33,turned,2
34,when—whack—something,1
35,go,3
36,day,1
37,turkeylurkeys,1
38,thrown,3
39,alongside,2
40,goodness,1
41,came,1
42,foxywoxys,1
43,one,1
44,door,1
45,bite,1
46,gracious,1
47,hole,2
48,upon,1
49,never,1
50,oh,5
51,home,1
52,gone,1
53,king,13
54,head,4
55,show,1
56,follow,1
57,doubt,1
58,tail,1
59,body,1
60,tell,10
61,beside,1
62,way,3
63,corn,1
64,snapped,2
65,made,1
66,waddled,1
67,two,1
68,first,3
69,afalling,7
70,far,3
71,cockylocky,31
72,may,4
73,narrow,1
74,get,1
75,said,15
76,youll,1
77,till,6
78,certainly,6
79,round,1
80,strutted,1
81,called,1
82,course,1
83,sky,12
84,shoulder,1
85,turkeylurkeyfoxywoxy,1
86,gooseypoosey,23
87,duckydaddles,25
88,got,1
89,must,1
90,foxywoxy,10
91,daddles,1
92,proper,1
93,hurt,1
94,last,1
95,come,5
96,back,1
97,kingwent,1
98,palace,1
99,short,1
100,duckydaddlesfoxywoxy,1
