,0,1
0,hadnt,1
1,morning,2
2,difference,1
3,led,1
4,clean,2
5,wait,1
6,breaking,1
7,help,2
8,hodge,2
9,neck,1
10,clomb,1
11,keep,1
12,fond,1
13,bench,1
14,weary,1
15,lad,2
16,big,5
17,going,1
18,suppergiant,1
19,rage,1
20,done,3
21,tried,2
22,tread,1
23,cautiously,1
24,stone,4
25,nothing,26
26,go,1
27,took,6
28,seven,8
29,day,5
30,let,1
31,case,1
32,wake,2
33,saidget,1
34,ill,4
35,sent,2
36,next,3
37,asked,2
38,cleaned,2
39,magic,2
40,terrible,3
41,spoke,1
42,wakened,2
43,wed,2
44,fled,1
45,bush,1
46,head,2
47,carried,2
48,astonished,1
49,welled,1
50,hand,1
51,sleeping,1
52,reached,1
53,queen,8
54,could,5
55,unspelling,1
56,there,1
57,laddie,1
58,else,2
59,three,1
60,first,2
61,henwifes,2
62,fish,1
63,stable,2
64,deep,1
65,drink,1
66,find,1
67,le,1
68,saidhidge,2
69,get,3
70,everything,1
71,air,1
72,sing,1
73,send,1
74,egg,4
75,makegardener,1
76,field,2
77,sure,2
78,placed,1
79,began,1
80,married,1
81,mile,6
82,giant,27
83,must,3
84,son,5
85,catch,5
86,helped,1
87,indeed,1
88,henwife,4
89,whats,1
90,sharp,1
91,cried,2
92,early,1
93,arm,1
94,fine,1
95,nightfall,1
96,fast,1
97,without,1
98,look,1
99,saw,5
100,dry,1
101,hated,1
102,mother,3
103,pay,1
104,every,1
105,ran,2
106,dinner,1
107,country,1
108,worse,2
109,sight,1
110,throw,2
111,call,1
112,castle,6
113,nix,25
114,broke,1
115,thought,1
116,walking,1
117,one,6
118,state,1
119,sprung,1
120,nearly,1
121,together,2
122,upon,2
123,taught,1
124,meanwhile,3
125,tower,1
126,broken,1
127,light,1
128,king,14
129,father,3
130,killedwent,1
131,sooner,1
132,like,2
133,way,5
134,see,2
135,criedking,1
136,speed,1
137,draw,3
138,little,2
139,hair,5
140,work,3
141,said,20
142,thanks,1
143,daypoor,1
144,knew,1
145,think,1
146,wild,1
147,shadow,2
148,branch,1
149,sitting,1
150,called,6
151,gardener,6
152,beast,1
153,stretching,1
154,stonegiant,1
155,breakfast,1
156,liked,1
157,lover,1
158,house,3
159,put,2
160,give,5
161,went,11
162,em,1
163,ground,1
164,along,2
165,well,3
166,sad,1
167,step,3
168,job,2
169,soon,3
170,wife,1
171,razor,1
172,rest,2
173,waist,1
174,bottom,1
175,toe,1
176,determined,1
177,cross,1
178,gave,1
179,always,1
180,getting,1
181,speakgreatly,1
182,take,4
183,shame,1
184,vegetable,1
185,found,2
186,drowned,1
187,boy,10
188,watch,1
189,promised,3
190,near,1
191,claim,1
192,fowl,1
193,dagger,2
194,brought,2
195,sat,2
196,safe,1
197,would,5
198,never,3
199,travelled,1
200,broad,2
201,daughter,18
202,home,5
203,stranger,2
204,given,1
205,temper,2
206,kindness,1
207,bargain,1
208,kissed,2
209,poor,1
210,cut,1
211,speak,1
212,made,3
213,sits,1
214,young,3
215,lake,2
216,water,9
217,dashed,4
218,till,9
219,heard,2
220,christen,1
221,set,1
222,towards,1
223,marry,3
224,flask,2
225,away,6
226,promise,1
227,charm,1
228,got,8
229,storynix,1
230,move,1
231,last,2
232,name,1
233,back,12
234,river,2
235,didnt,1
236,waiting,2
237,moment,1
238,prong,1
239,spell,1
240,year,1
241,lived,2
242,lave,1
243,supper,3
244,know,3
245,brain,2
246,finger,1
247,babyboy,1
248,tomorrow,5
249,cottage,1
250,told,4
251,breakfastgiant,1
252,length,1
253,brave,1
254,tidied,1
255,couldnt,1
256,chair,2
257,threw,3
258,cause,1
259,sang,1
260,right,2
261,happy,2
262,fell,2
263,im,2
264,time,10
265,whose,1
266,nest,1
267,briar,2
268,grew,4
269,man,1
270,dead,4
271,many,1
272,grown,1
273,quick,5
274,sea,1
275,crisscross,1
276,came,14
277,pail,2
278,bring,1
279,awake,1
280,sweetheart,1
281,lodging,1
282,minute,1
283,nice,1
284,sorry,1
285,destroy,1
286,tree,4
287,death,2
288,asleep,2
289,waken,3
290,long,7
291,comb,2
292,high,1
293,far,1
294,may,1
295,showed,1
296,lady,5
297,bonny,3
298,thick,2
299,hall,1
300,tidy,1
301,top,2
302,child,2
303,whirlpool,1
304,angry,1
305,bit,3
306,mangiant,1
307,looked,1
308,wasnt,1
309,hedge,1
310,vain,1
311,ive,3
312,drain,1
313,lightning,1
314,night,1
315,dear,1
316,wave,1
317,nought,26
318,come,5
319,wit,1
320,drank,1
321,carry,2
322,run,3
