,0,1
0,behind,1
1,went,3
2,swan—coming,1
3,william,3
4,fine,1
5,sweet,2
6,breastbone,2
7,morning,1
8,seen,1
9,beautiful,1
10,great,1
11,forgot,1
12,fathernight,1
13,rest,1
14,waist,2
15,saw,2
16,lived,1
17,maid,1
18,williams,1
19,hated,1
20,youngest,2
21,hate,1
22,joy,1
23,rushing,1
24,cheek,1
25,millstream,5
26,taking,1
27,girdle,1
28,sister,5
29,white,1
30,told,1
31,face,2
32,love,3
33,shame,1
34,beauty,1
35,weep,1
36,ridone,1
37,pale,1
38,touch,2
39,laid,1
40,hear,1
41,floating,1
42,shall,3
43,sang,4
44,hushedharp,1
45,drownedlay,1
46,stream,2
47,drowned,2
48,land,1
49,bone,1
50,castle,2
51,time,2
52,turned,1
53,cruel,2
54,stone,3
55,watch,1
56,broke,1
57,reach,3
58,merry,1
59,go,1
60,grew,2
61,heart,1
62,took,1
63,day,5
64,many,1
65,sinking,1
66,old,1
67,let,1
68,though,1
69,boat,2
70,near,3
71,came,5
72,clearharp,1
73,ill,1
74,one,1
75,miller,2
76,harper,4
77,hill,1
78,caught,1
79,foot,1
80,pearl,1
81,troth,1
82,plotted,1
83,low,1
84,sometimes,2
85,upon,4
86,never,2
87,mill,1
88,stopped,2
89,wooing,1
90,travelled,2
91,daughter,3
92,lay,1
93,glove,3
94,home,1
95,milkwhite,1
96,twixt,1
97,heir,1
98,king,3
99,u,1
100,father,3
101,hand,6
102,fair,1
103,gathered,1
104,planned,1
105,williamsink,1
106,singing,1
107,making,1
108,swimming,1
109,longer,1
110,could,2
111,queen,1
112,glad,1
113,court,1
114,sungwondered,1
115,clear,2
116,cherry,1
117,bankfair,1
118,dam,2
119,white—a,1
120,there,1
121,harp,5
122,see,2
123,snapped,1
124,harper—king,1
125,two,1
126,princess,3
127,ring,1
128,made,3
129,first,1
130,draw,2
131,loud,1
132,beneath,1
133,coming,2
134,water,1
135,fringe,1
136,far,1
137,lying,1
138,find,1
139,sunk,1
140,castleprincess,1
141,hair,5
142,bank,2
143,get,1
144,said,1
145,dashed,1
146,youll,1
147,bonny,5
148,till,3
149,round,1
150,hall,2
151,cared,1
152,lily,1
153,sing,1
154,precious,1
155,bower,1
156,something,2
157,towards,2
158,presently,1
159,sorrow,1
160,mine,3
161,binnoriesister,1
162,sir,3
163,hastened,1
164,plighted,1
165,millwheel,1
166,called,1
167,needed,1
168,eldest,2
169,cooking,2
170,famous,1
171,away,4
172,began,2
173,afterwards,1
174,looked,2
175,lovesister,1
176,got,3
177,dress,1
178,passed,1
179,ive,1
180,son,1
181,binnorie,7
182,half,1
183,floated,3
184,liked,1
185,golden,5
186,come,2
187,heavy,1
188,back,1
189,getsister,1
190,milldam,5
191,river,1
192,cried,3
193,put,2
