,0,1
0,twig,3
1,went,2
2,waiting,1
3,sincemagpie,1
4,along,1
5,better,1
6,twoooomagpie,1
7,madge,2
8,hadnt,1
9,quite,1
10,without,1
11,working,2
12,end,1
13,saw,1
14,nestmagpie,1
15,flew,5
16,say,1
17,cakeoh,1
18,silly,2
19,wise,1
20,take,6
21,blackbird,2
22,every,1
23,taking,1
24,enough,1
25,outsidething,1
26,starlingwent,1
27,taffy,3
28,remained,1
29,done,1
30,building,1
31,bird,7
32,nest,10
33,took,4
34,slovenly,1
35,magpie,6
36,saying,2
37,daymagpie,1
38,putting,1
39,near,1
40,came,1
41,teach,1
42,twined,1
43,cry,1
44,one,2
45,asked,1
46,cleverest,1
47,twoooolast,2
48,different,1
49,build,5
50,never,1
51,mud,2
52,make,2
53,turtledove,3
54,meanwhile,1
55,feather,1
56,lined,1
57,knowledge,1
58,kept,2
59,rare,1
60,show,1
61,arranged,1
62,starling,1
63,tell,1
64,looking,1
65,made,2
66,two,3
67,first,1
68,nobody,1
69,layer,1
70,tellstill,1
71,refused,1
72,said,5
73,stuff,1
74,owl,2
75,comfortable,1
76,till,1
77,round,4
78,paid,1
79,air,1
80,heard,1
81,sort,1
82,sparrow,2
83,attention,1
84,obvious,1
85,angry,2
86,rather,1
87,mudknow,1
88,began,1
89,away,4
90,twigoh,1
91,looked,1
92,enoughturtledove,1
93,comfortablysuit,1
94,none,1
95,daywell,1
96,got,2
97,last,1
98,differently,1
99,thrush,2
100,another,1
101,thats,4
102,across,1
103,cried,2
104,put,2
