,0,1
0,stay,2
1,didnt,3
2,went,9
3,weddingday,1
4,arm,1
5,third,1
6,better,1
7,well,3
8,clothes,1
9,sonoh,1
10,fine,1
11,shant,1
12,dearlove,1
13,cloak,1
14,morning,1
15,pot,2
16,seen,2
17,kind,1
18,great,2
19,fall,1
20,slipped,2
21,sayyes,1
22,beautiful,1
23,soon,1
24,without,1
25,rush,19
26,slipt,2
27,look,1
28,saw,2
29,signify,1
30,nowhere,1
31,maid,4
32,harmedwell,1
33,gave,2
34,cap,24
35,rich,1
36,roundhappy,1
37,saywell,3
38,lot,1
39,say,17
40,servant,1
41,seenwell,1
42,saymaster,1
43,pretended,1
44,shes,1
45,cameadoing,1
46,every,3
47,saygave,1
48,dinner,1
49,eat,2
50,told,2
51,fresh,2
52,saydont,1
53,love,12
54,worse,2
55,keep,1
56,allowed,1
57,fond,1
58,cookdoesnt,1
59,miss,1
60,sight,1
61,loved,2
62,couldnt,1
63,camemake,1
64,going,1
65,right,1
66,best,1
67,done,1
68,tried,2
69,tired,3
70,aught,1
71,time,1
72,turned,1
73,might,2
74,go,8
75,took,5
76,eyewell,2
77,thought,2
78,man,1
79,day,3
80,dead,1
81,finely,1
82,wont,1
83,saysend,1
84,perhaps,1
85,hood,1
86,dearsay,2
87,saycap,1
88,much,5
89,near,1
90,came,7
91,wash,1
92,rushwell,5
93,wouldnt,3
94,one,6
95,reckoning,1
96,rarely,2
97,next,2
98,shellcome,1
99,burst,1
100,door,2
101,asked,3
102,foot,1
103,ask,2
104,rushsaybeautifullest,1
105,lifethats,1
106,sat,1
107,cleaned,3
108,manill,1
109,gentleman,1
110,would,1
111,ladylet,1
112,yes,1
113,never,6
114,hed,2
115,shut,1
116,facewell,1
117,wage,1
118,eye,3
119,minute,1
120,evening,4
121,daughter,2
122,diewell,1
123,make,2
124,frightenedlookeddidnt,1
125,home,5
126,mite,1
127,fen,1
128,gone,3
129,homegone,1
130,drove,1
131,saucepan,2
132,cook,8
133,u,1
134,father,2
135,head,1
136,asleep,3
137,dish,2
138,scraped,1
139,elsedance,1
140,gathered,1
141,ha,3
142,clotheswell,1
143,making,1
144,scrape,1
145,rare,1
146,show,1
147,glad,1
148,anybodywedding,1
149,cookwell,1
150,salt,2
151,like,1
152,tell,1
153,way,2
154,there,3
155,saidstayed,1
156,stayed,2
157,see,6
158,else,1
159,made,3
160,he,2
161,ring,4
162,three,1
163,upstairsyoung,1
164,dont,1
165,young,5
166,first,3
167,saltthatll,1
168,tasteless,1
169,dancemaster,2
170,washed,1
171,far,1
172,little,2
173,danced,2
174,may,2
175,find,1
176,ga,2
177,wedding,1
178,lady,5
179,work,2
180,said,9
181,second,1
182,saycomemade,1
183,till,3
184,nasty,1
185,knowfather,1
186,dying,2
187,heard,1
188,sayim,1
189,set,2
190,master,7
191,surewell,1
192,sort,2
193,crymatter,1
194,grand,2
195,company,1
196,pretending,2
197,worldthats,1
198,saywant,1
199,gruel,5
200,called,1
201,cover,1
202,seeing,1
203,angry,1
204,twas,1
205,offed,4
206,housewant,1
207,sly,1
208,dressed,1
209,away,4
210,married,3
211,began,1
212,dancewell,1
213,people,1
214,none,1
215,got,2
216,dress,1
217,must,1
218,howsoever,1
219,saidhavent,1
220,meat,3
221,ever,2
222,son,5
223,gay,2
224,night,1
225,rushnext,1
226,dance,7
227,bedmake,1
228,name,2
229,liked,3
230,last,2
231,come,2
232,hide,1
233,bottomsend,1
234,back,2
235,sayget,1
236,good,2
237,saysay,4
238,another,2
239,dressedwell,1
240,drank,1
241,dirty,1
242,house,1
243,put,1
244,anything,1
