,0,1
0,grave,1
1,saucyking,1
2,bosom,1
3,great,4
4,peep,1
5,hearty,1
6,place,2
7,meeting,1
8,safetytom,1
9,mousequeen,1
10,enchanter,1
11,help,1
12,blown,1
13,neck,1
14,prancing,1
15,crept,2
16,furrow,1
17,laid,1
18,lost,1
19,danger,1
20,milk,2
21,apron,1
22,rage,1
23,however,2
24,red,1
25,loss,1
26,stirred,1
27,accordingly,1
28,skilful,1
29,live,2
30,took,3
31,day,6
32,immediately,1
33,let,2
34,sit,1
35,outside,1
36,tinker,2
37,sent,2
38,cry,3
39,stealshort,1
40,overcameking,1
41,asked,3
42,caught,3
43,ruin,1
44,hour,1
45,drawn,1
46,raised,1
47,melancholy,1
48,tall,1
49,opened,2
50,lay,1
51,purse,1
52,wonderful,1
53,string,1
54,cook,1
55,became,1
56,head,1
57,astonished,1
58,carried,4
59,hand,1
60,reached,1
61,bigger,3
62,kept,1
63,anybody,1
64,queen,2
65,could,4
66,thievish,1
67,body,1
68,chanced,1
69,mousecertainly,1
70,gambol,1
71,astride,1
72,anxious,1
73,cleared,1
74,creature,1
75,fish,3
76,flung,1
77,merlin,1
78,pudding,5
79,bade,1
80,trick,3
81,everything,1
82,filled,1
83,attacked,1
84,air,1
85,large,2
86,walked,2
87,inch,1
88,mouse,2
89,bed,1
90,journey,1
91,throat,1
92,tommy,2
93,waterbubble,1
94,drop,1
95,field,3
96,plattermerlin,1
97,promising,1
98,placed,1
99,resting,1
100,dressed,1
101,began,2
102,difficulty,1
103,silver,1
104,favourite,2
105,treasury,2
106,shake,1
107,prevented,1
108,kicked,1
109,magician,2
110,son,2
111,parent,2
112,bread,1
113,catch,1
114,suit,1
115,seat,1
116,palace,1
117,thistle,3
118,often,1
119,ahunting,1
120,fine,4
121,pot,3
122,without,3
123,wishing,2
124,ah,2
125,ordinary,1
126,saw,1
127,breath,1
128,thomas,2
129,mother,10
130,forward,1
131,hundred,1
132,beggar,1
133,woeful,1
134,tear,1
135,butterfly,2
136,every,1
137,tom,26
138,ran,3
139,white,1
140,drownedqueen,1
141,diverting,1
142,neat,1
143,shall,1
144,wring,1
145,wind,1
146,drew,2
147,covered,1
148,giving,1
149,snailshell,1
150,usual,1
151,hat,1
152,broke,2
153,thought,1
154,thumb,4
155,saying,1
156,hero,1
157,rewarded,1
158,jumping,1
159,hunger,1
160,fear,1
161,much,5
162,seemed,1
163,brown,1
164,cattle,1
165,feeling,1
166,one,5
167,yet,1
168,door,2
169,roared,2
170,foot,2
171,state,1
172,inside,1
173,noticing,3
174,upon,2
175,stopped,1
176,tied,1
177,oakleaf,1
178,aware,1
179,dreadfully,1
180,thumbqueen,1
181,king,9
182,father,5
183,expire,1
184,fully,1
185,play,1
186,silverpiece,1
187,bag,3
188,way,1
189,fought,1
190,see,5
191,full,1
192,rode,2
193,plumped,1
194,little,9
195,free,1
196,liking,1
197,playfellow,1
198,enraged,1
199,teeth,1
200,ploughman,3
201,crush,1
202,budget,1
203,said,4
204,wide,1
205,idea,1
206,majesty,2
207,small,2
208,childpoor,1
209,goodhearted,1
210,sir,1
211,relate,1
212,sitting,1
213,threepennypiece,1
214,called,1
215,swallowed,1
216,charmed,1
217,pleased,2
218,delighted,1
219,afterwards,1
220,piece,3
221,executionhowever,1
222,wateringpot,1
223,miserable,1
224,haste,1
225,fill,1
226,fellow,2
227,aloud,1
228,short,1
229,pain,1
230,house,2
231,put,4
232,window,1
233,nobility,2
234,went,3
235,ground,2
236,along,2
237,well,2
238,darling,1
239,soon,6
240,wife,3
241,rest,1
242,determined,1
243,mouth,3
244,barley,1
245,mothermother,1
246,gave,2
247,puddingbag,1
248,laughter,1
249,joy,1
250,getting,2
251,take,2
252,cow,5
253,chargerking,1
254,creep,2
255,trap,2
256,courttom,1
257,gameone,1
258,enough,1
259,foodcountryman,1
260,boilbatter,1
261,admiring,1
262,fortunately,1
263,tired,2
264,starved,1
265,boy,5
266,happiest,1
267,used,2
268,might,1
269,begged,1
270,hot,1
271,coach,1
272,though,1
273,ordertom,1
274,near,1
275,burden,1
276,strove,1
277,batter,4
278,replied,1
279,suffered,1
280,brought,1
281,order,2
282,caper,1
283,drive,1
284,surprised,1
285,would,3
286,never,2
287,travelled,1
288,seenfamous,1
289,home,2
290,whip,1
291,chewing,1
292,beheaded,1
293,teacup,1
294,gone,1
295,edge,1
296,procure,1
297,money,2
298,kindness,1
299,making,1
300,conferred,1
301,court,4
302,lifting,1
303,resolved,1
304,kissed,2
305,mothertommy,1
306,poor,8
307,husband,1
308,meadow,1
309,made,6
310,two,2
311,appearance,1
312,marble,1
313,loud,1
314,coming,1
315,water,1
316,washed,1
317,spider,2
318,godson,1
319,circumstance,1
320,till,2
321,new,1
322,mounted,2
323,according,1
324,set,2
325,waistcoatpocket,1
326,wooden,1
327,sword,1
328,thigh,1
329,raven,1
330,something,1
331,six,1
332,rolled,1
333,amused,2
334,received,2
335,fairy,2
336,bowl,2
337,seeing,1
338,rather,1
339,away,2
340,form,1
341,prince,1
342,welcome,1
343,stealing,2
344,got,3
345,dress,1
346,ever,1
347,horseback,1
348,lifted,1
349,hurt,1
350,accident,1
351,name,1
352,last,6
353,epitaph,1
354,back,2
355,mouthful,1
356,almost,3
357,quite,1
358,larger,1
359,concealment,1
360,clothes,2
361,tablesaid,1
362,droppedlarge,1
363,moment,1
364,fall,1
365,slipped,2
366,size,1
367,following,1
368,wire,1
369,lived,1
370,know,1
371,odd,1
372,close,1
373,flew,2
374,patted,1
375,observing,1
376,empty,1
377,flying,1
378,returned,3
379,cottage,2
380,frightened,1
381,observed,1
382,told,3
383,satisfiedmerlin,1
384,older,1
385,putlittle,1
386,chair,1
387,threw,1
388,rainking,1
389,anger,1
390,mind,1
391,fortyeight,1
392,cherrystone,3
393,alive,1
394,fell,2
395,time,5
396,mourning,1
397,grew,2
398,therefore,1
399,libertyking,1
400,man,1
401,sea,2
402,old,1
403,woman,3
404,learned,2
405,bruised,1
406,putting,1
407,bought,1
408,whether,1
409,came,2
410,gold,1
411,ready,1
412,honour,1
413,leg,1
414,mouthmother,1
415,cunning,1
416,cat,1
417,sadly,1
418,bewitched,1
419,address,1
420,coarse,1
421,eye,1
422,ear,1
423,tight,1
424,sorry,2
425,royal,1
426,struggled,1
427,thread,1
428,tree,2
429,afraid,1
430,death,1
431,huge,1
432,table,2
433,falling,1
434,favour,1
435,belonged,1
436,enjoy,1
437,long,1
438,whole,1
439,ordered,2
440,threatened,1
441,finding,1
442,adventure,1
443,shower,1
444,pulling,1
445,monument,1
446,although,2
447,passing,1
448,straw,1
449,high,2
450,join,1
451,slept,1
452,ventured,1
453,world,2
454,mighty,1
455,batterpudding,2
456,hometom,1
457,comfortable,1
458,round,2
459,wish,1
460,also,3
461,span,1
462,climbed,1
463,noise,1
464,succeeded,1
465,picked,1
466,meet,1
467,child,1
468,bedsoon,1
469,dwarf,1
470,bit,1
471,knight,3
472,grant,1
473,night,1
474,dear,1
475,travelling,1
476,unhappy,1
477,pocket,1
478,hearing,1
479,poisonous,1
480,arthur,4
481,carry,1
