,0,1
0,behind,1
1,went,5
2,em,4
3,spinning,2
4,gruffly,1
5,put,2
6,coolcat,1
7,im,2
8,mouse,2
9,sitting,1
10,ate,2
11,bodyspring,1
12,long,2
13,old,2
14,body,16
15,richer,2
16,spinningmouse,1
17,bought,2
18,silver,2
19,came,2
20,ill,4
21,kill,1
22,door,1
23,breech,2
24,window,2
25,faster,2
26,cat,3
27,sweeping,2
28,meat,2
29,timidly,1
30,tear,2
31,may,2
32,room,2
33,sharply,2
34,youd,4
35,pudding,2
36,eat,4
37,snarling,1
38,bodymouse,7
39,pouncingly,1
40,lady,15
41,good,24
42,upon,1
43,sixpence,2
44,market,2
45,cool,1
46,found,3
47,ladycat,7
48,hall,1
49,visit,1
50,wear,4
51,cleaner,2
