,0,1
0,ellen,12
1,nostril,1
2,left,1
3,still,1
4,setting,1
5,soul,1
6,victorychilde,1
7,cant,1
8,pillar,2
9,danger,1
10,lost,2
11,goodbye,1
12,big,2
13,headwent,1
14,anointed,1
15,milk,1
16,going,3
17,middle,3
18,thirsty,1
19,done,1
20,however,1
21,stone,3
22,go,9
23,nothing,1
24,burd,13
25,took,1
26,closed,1
27,sprang,1
28,let,3
29,saythird,1
30,backpossible,1
31,case,1
32,ill,1
33,asked,5
34,pearl,2
35,bite,3
36,supported,1
37,silk,1
38,opened,1
39,make,1
40,furnished,1
41,lay,1
42,wonderful,1
43,twilight,2
44,travel,1
45,immense,1
46,glorious,2
47,head,4
48,carried,1
49,emerald,1
50,rough,1
51,reached,2
52,kept,1
53,queen,4
54,could,2
55,wall,1
56,tell,6
57,ball,1
58,horseherds,1
59,three,2
60,first,1
61,henwifes,1
62,merlin,9
63,drink,2
64,passage,2
65,find,1
66,get,1
67,opposite,1
68,filled,1
69,fretted,1
70,air,1
71,transparent,2
72,spacious,1
73,precious,2
74,large,3
75,midst,1
76,entombed,1
77,drop,2
78,sure,1
79,began,1
80,basin,1
81,silver,2
82,beg,1
83,wider,1
84,warn,1
85,must,2
86,lip,2
87,passed,1
88,theewithout,1
89,son,3
90,bread,1
91,attempting,1
92,mercy,2
93,bloodred,1
94,henwife,2
95,shook,1
96,thanked,1
97,fine,1
98,cathedral,1
99,cloak,1
100,saw,2
101,sup,1
102,question,1
103,incrusted,1
104,mother,5
105,youngest,1
106,shalt,1
107,met,1
108,sight,1
109,elfland,8
110,ornament,1
111,rowland,18
112,widershins,3
113,drew,1
114,turned,1
115,saying,1
116,horseherd,3
117,elflands,1
118,fear,1
119,maybe,1
120,seemed,2
121,perish,1
122,one,5
123,ruby,1
124,yet,1
125,door,2
126,twainwell,1
127,speaks,1
128,together,1
129,shininghall,1
130,taught,2
131,lesson,1
132,eyelid,1
133,sun,2
134,repeated,1
135,tower,5
136,light,1
137,king,9
138,hungry,3
139,father,2
140,saidsate,1
141,arch,3
142,lofty,1
143,green,3
144,agree,1
145,attempt,1
146,way,3
147,fought,3
148,see,1
149,full,1
150,ellens,1
151,diamond,2
152,little,5
153,free,1
154,struck,4
155,hair,1
156,work,1
157,said,16
158,sayingfoldingdoors,1
159,wide,1
160,farther,1
161,knew,5
162,think,1
163,declared,1
164,spared,1
165,christendom,1
166,darkexactly,1
167,food,1
168,grey,1
169,sate,1
170,return,1
171,eldest,1
172,warlock,10
173,hard,1
174,shouted,1
175,disenchanted,1
176,golden,2
177,good,10
178,feeding,1
179,whoever,1
180,thee,3
181,bright,1
182,grand,1
183,window,1
184,put,1
185,give,1
186,went,18
187,seek,1
188,along,4
189,ground,1
190,well,1
191,spar,1
192,soon,1
193,four,1
194,waist,1
195,end,1
196,bottom,2
197,thy,1
198,gave,2
199,always,1
200,swallow,1
201,twain,1
202,voice,1
203,chest,1
204,remembered,2
205,take,1
206,sister,5
207,attemptpossible,1
208,rock,3
209,composed,1
210,cave,1
211,word,2
212,boldest,1
213,tired,1
214,caused,1
215,waited,1
216,begged,3
217,sheepsilver,1
218,though,1
219,keystone,1
220,rushed,1
221,around,1
222,darest,1
223,elflandsecond,1
224,brother,11
225,brought,1
226,girt,1
227,ajar,1
228,would,4
229,never,8
230,forgetting,1
231,broad,1
232,elfin,2
233,home,1
234,approaching,1
235,u,1
236,warningburd,1
237,rose,1
238,longer,1
239,raise,2
240,cluster,1
241,canst,1
242,rising,1
243,entered,1
244,flower,1
245,two,5
246,made,2
247,loud,1
248,church,2
249,beat,1
250,gloaming,1
251,dashed,1
252,till,11
253,fingertip,1
254,surrounded,1
255,cowherd,3
256,heard,2
257,set,3
258,playing,1
259,simple,1
260,fairy,3
261,bowl,1
262,fiery,1
263,talked,1
264,away,1
265,got,1
266,last,4
267,ray,1
268,back,4
269,bogle,1
270,lamp,1
271,woe,1
272,quite,2
273,waiting,1
274,wreath,1
275,spell,3
276,kind,1
277,feel,1
278,know,1
279,childe,16
280,dark,6
281,yield,1
282,shins—the,1
283,returned,1
284,equally,1
285,told,4
286,knee,1
287,sick,1
288,beforehandeldest,1
289,spinning,1
290,land,2
291,brand,6
292,release,1
293,time,6
294,manner,2
295,heart,1
296,man,2
297,dead,1
298,old,1
299,open,3
300,hollowed,1
301,woman,1
302,gold,3
303,rescue,1
304,couch,1
305,came,6
306,burst,1
307,hill,3
308,ask,1
309,sadly,1
310,foldingdoors,1
311,bring,2
312,eye,1
313,chain,1
314,ear,1
315,combing,1
316,warm,1
317,click,1
318,thou,5
319,life,2
320,huge,1
321,fair,1
322,long,4
323,whole,1
324,timethird,1
325,candle,1
326,comb,1
327,high,1
328,wilt,2
329,stood,2
330,velvet,1
331,may,3
332,neither,1
333,round,9
334,freemoment,1
335,hall,4
336,horse,1
337,earthchilde,1
338,liquor,1
339,terracerings,2
340,carbuncle,1
341,noise,1
342,amonglast,1
343,phial,1
344,top,2
345,seem,1
346,meet,2
347,child,1
348,youve,1
349,wished,1
350,bit,3
351,looked,2
352,roof,3
353,knight,1
354,grant,1
355,vain,4
356,fail,1
357,come,4
358,enchanted,1
359,rushedstrike,1
360,thing,5
361,ellenwaited,1
362,hung,1
