,0,1
0,middlesized,4
1,went,4
2,ground,1
3,third,1
4,well,2
5,wood,4
6,morning,1
7,peeped,1
8,pot,4
9,fast,2
10,great,21
11,soon,1
12,bedchamber,3
13,left,1
14,started,1
15,fall,1
16,impudent,1
17,porridgesaid,2
18,placesomebody,2
19,squatted,1
20,look,2
21,saw,4
22,tumbled,1
23,lived,1
24,fastened,1
25,bottom,1
26,place,3
27,voiceknow,1
28,mouth,1
29,bearsomebody,2
30,keyhole,1
31,always,1
32,burn,1
33,voice,4
34,pulled,2
35,bedsaid,2
36,suspected,1
37,eat,1
38,porridge,10
39,ran,2
40,wordlittle,1
41,neck,1
42,cushion,2
43,enough,1
44,ugly,1
45,chair,10
46,found,1
47,word,3
48,correction,1
49,upstairs,2
50,lost,1
51,seated,1
52,wind,1
53,right,3
54,middle,17
55,put,2
56,covered,1
57,fell,1
58,done,1
59,time,1
60,manner,1
61,wicked,1
62,waited,1
63,broke,1
64,cold,2
65,might,1
66,dream,1
67,porridgepot,2
68,thought,2
69,day,1
70,cooling,1
71,hot,2
72,perhaps,1
73,sleep,2
74,old,19
75,speaking,1
76,open,1
77,woman,19
78,sit,1
79,tasted,3
80,whether,1
81,walking,1
82,came,6
83,asleeptime,1
84,sent,1
85,one,6
86,next,1
87,door,2
88,asked,1
89,foot,2
90,search,1
91,chairsaid,2
92,voiceupon,1
93,beginning,1
94,together,1
95,would,5
96,upon,7
97,never,2
98,opened,2
99,voicethree,1
100,make,1
101,lay,4
102,home,2
103,awakened,1
104,head,2
105,asleep,1
106,huge,14
107,table,1
108,taken,1
109,rough,5
110,standing,2
111,rose,1
112,anybody,1
113,pillow,3
114,could,1
115,enoughlittle,1
116,goodnatured,1
117,gruff,4
118,jumped,1
119,like,1
120,tell,1
121,way,1
122,harm,2
123,bearone,1
124,entered,1
125,vagrant,1
126,honest,1
127,shrill,1
128,made,1
129,gonesomebody,1
130,three,6
131,high,3
132,bed—andsaid,1
133,first,2
134,naughty,3
135,constable,1
136,latch,1
137,necessary,1
138,nobody,2
139,bolster,3
140,bear,52
141,wee,18
142,slept,1
143,spoon,4
144,little,30
145,lying,3
146,side,1
147,businesssomebody,1
148,poured,1
149,porridgepots,1
150,said,4
151,till,3
152,neither,3
153,farther,1
154,thunder,1
155,soft,3
156,heard,4
157,hold,1
158,small,18
159,set,1
160,wooden,1
161,tidy,1
162,helpingfirst,1
163,walked,1
164,chairsomebody,1
165,bed,9
166,ate,1
167,sitting,3
168,seeing,2
169,plump,1
170,sate,5
171,pleased,1
172,bears—a,1
173,began,1
174,porridgesomebody,1
175,silver,1
176,looked,3
177,comfortably,1
178,hard,3
179,rumbling,1
180,got,1
181,roaring,1
182,lifted,1
183,pocketsomebody,1
184,eaten,1
185,breakfast,4
186,bottomsaid,1
187,liked,1
188,head—which,1
189,hospitable,1
190,good,5
191,bad,4
192,eatensaid,1
193,cool,1
194,sharp,1
195,voicelittle,5
196,dirty,1
197,straight,1
198,house,5
199,window,4
200,anything,1
