,0,1
0,hadnt,5
1,morning,10
2,widow,2
3,beanstalk,15
4,great,6
5,still,1
6,topple,1
7,difference,1
8,mum,6
9,sake,1
10,calf,1
11,strangelooking,1
12,say,18
13,thunderjack,1
14,somewhere,1
15,wait,1
16,underneath,1
17,jackdont,1
18,cant,2
19,market,2
20,crept,4
21,laid,3
22,suddenly,1
23,big,10
24,truthbeanstalk,1
25,milk,3
26,going,4
27,best,1
28,tried,1
29,done,1
30,true,1
31,loss,1
32,forgetful,1
33,toast,1
34,snooze,1
35,live,2
36,go,6
37,nothing,2
38,took,3
39,day,1
40,scarcely,1
41,shining,1
42,truly,1
43,ill,2
44,needleright,1
45,selling,1
46,caught,4
47,youngster,1
48,youd,1
49,doorback,1
50,tall,7
51,spoke,1
52,make,1
53,lay,3
54,robinson,1
55,wonderful,1
56,camebig,1
57,sold,2
58,idiot,1
59,backright,1
60,became,1
61,bush,1
62,head,2
63,carried,1
64,hand,5
65,shady,1
66,reached,2
67,could,7
68,shookjack,2
69,tell,2
70,overnight,2
71,getyoull,1
72,there,1
73,laddie,1
74,else,1
75,three,2
76,begun,1
77,ten,1
78,nobody,1
79,drink,1
80,get,3
81,somethingright,1
82,everything,1
83,sing,1
84,precious,1
85,walked,3
86,cupboard,1
87,egg,5
88,bed,1
89,mouse,1
90,paltry,1
91,course,2
92,twentytold,1
93,prime,1
94,sure,4
95,handcheer,1
96,dressed,1
97,began,5
98,married,1
99,calling,1
100,feefifofum,2
101,doesnt,1
102,giant,1
103,shake,1
104,must,1
105,son,1
106,bread,1
107,smellnonsense,1
108,blood,1
109,trusting,1
110,henwife,1
111,sharp,2
112,whats,1
113,shook,1
114,and——say,1
115,cried,2
116,early,2
117,behind,1
118,arm,1
119,fine,2
120,milkywhite,6
121,fast,1
122,doorstep,1
123,ah,1
124,look,1
125,saw,5
126,sup,1
127,ovenhappened,1
128,rich,1
129,weight,1
130,mother,17
131,rushing,2
132,yesterday,2
133,you—your,1
134,every,3
135,eat,5
136,dinner,1
137,ran,1
138,met,1
139,today,1
140,milkywhites,1
141,bean,9
142,shall,4
143,upstairs,1
144,felt,1
145,strange,1
146,munching,1
147,breakfastwell,1
148,wonder,1
149,broke,1
150,please,1
151,fifteen,1
152,beanwalker,1
153,rogue,1
154,much,3
155,one,7
156,plaited,1
157,yet,1
158,door,1
159,sprung,1
160,boot,1
161,dare,1
162,nearly,1
163,gracious,1
164,wringing,1
165,yard,1
166,upon,1
167,hed,1
168,stopped,1
169,beautifully,1
170,sun,1
171,kitchen,1
172,number,1
173,hungry,2
174,harpjack,1
175,luck,2
176,singing,1
177,bag,5
178,youre,1
179,supperlast,1
180,jumped,2
181,like,7
182,ogre,27
183,harp,6
184,see,3
185,missed,1
186,princess,1
187,shop,1
188,axe,5
189,copperbreakfast,1
190,five,1
191,little,3
192,politelike,1
193,past,1
194,work,1
195,said,23
196,showing,1
197,halter,2
198,funnylooking,1
199,knew,3
200,sort,2
201,think,2
202,astanding,1
203,namewell,1
204,mutter,1
205,parish,1
206,cominggoodness,1
207,eatwell,1
208,ate,1
209,called,3
210,nightjack,1
211,dolt,1
212,disappear,1
213,named,2
214,counting,1
215,footstep,1
216,dropped,1
217,beef,1
218,breakfast,8
219,liked,1
220,golden,10
221,cloudjack,1
222,arent,1
223,good,3
224,another,3
225,house,9
226,window,4
227,put,1
228,give,5
229,went,7
230,along,3
231,well,5
232,sad,1
233,dearjack,1
234,englishman,1
235,sleepwoke,1
236,soon,3
237,wife,14
238,un,1
239,rest,1
240,try,2
241,beanback,1
242,marketday,1
243,matter,1
244,end,2
245,determined,1
246,mouth,1
247,gave,7
248,swallow,1
249,always,1
250,hungerwell,1
251,really,2
252,garden,2
253,seetook,1
254,chest,1
255,since,1
256,take,5
257,cow,6
258,jack,37
259,want,1
260,start,4
261,enough,1
262,found,1
263,jug,1
264,fire,1
265,nod,2
266,boy,4
267,waited,2
268,content,1
269,grow,1
270,thrown,1
271,part,1
272,rushed,2
273,near,1
274,copper,1
275,wondered,1
276,magical,2
277,brought,2
278,search,1
279,sat,1
280,would,3
281,readyogre,1
282,never,1
283,sell,4
284,broad,1
285,commenced,1
286,bundled,1
287,running,1
288,curious,1
289,home,4
290,gone,2
