,0,1
0,didnt,4
1,hussy,1
2,went,4
3,agreed,1
4,lap,1
5,well,13
6,fine,1
7,saidwell,1
8,queer,1
9,beautiful,1
10,great,1
11,started,1
12,instead,1
13,break,1
14,matter,1
15,end,10
16,saw,1
17,bottom,1
18,stepmother,10
19,know,1
20,voice,2
21,hated,1
22,mother,1
23,girl,11
24,servant,1
25,el,1
26,peace,1
27,double,1
28,saidgirl,2
29,every,2
30,ran,1
31,told,4
32,cant,1
33,rid,1
34,handed,1
35,keep,3
36,met,1
37,skip,1
38,endstepmother,1
39,found,1
40,flop,1
41,finished,1
42,word,1
43,frog,11
44,frogwent,1
45,sieve,6
46,mind,1
47,milk,1
48,going,1
49,best,1
50,betide,1
51,put,1
52,tried,2
53,done,1
54,froggiegirl,1
55,bidding,1
56,castle,1
57,whose,1
58,time,8
59,cruel,1
60,turned,1
61,altogether,1
62,hopped,1
63,wicked,1
64,used,1
65,go,4
66,promised,2
67,took,2
68,heart,1
69,live,1
70,thought,4
71,day,2
72,moss,1
73,saidgave,1
74,old,2
75,let,1
76,open,1
77,though,1
78,woman,2
79,jump,1
80,wouldnt,2
81,ill,1
82,sent,1
83,one,3
84,sayfirst,1
85,asked,1
86,door,3
87,brought,1
88,fillwell,1
89,waterwell,1
90,remember,1
91,surprised,1
92,low,1
93,breaksuddenly,1
94,bring,2
95,beginning,1
96,would,4
97,unspelled,2
98,upon,1
99,never,3
100,eye,1
101,opened,1
102,make,1
103,lay,1
104,saidoh,1
105,oh,1
106,lift,1
107,fed,1
108,home,2
109,instant,2
110,died,1
111,dipped,2
112,king,1
113,father,2
114,head,3
115,lo,1
116,lined,1
117,reached,1
118,kept,1
119,could,4
120,glad,1
121,youre,1
122,long,2
123,croaking,1
124,whole,2
125,run,1
126,skipped,1
127,jumped,1
128,tell,3
129,obey,1
130,looking,1
131,tap,1
132,like,1
133,way,1
134,harm,1
135,full,3
136,endgirl,1
137,awayfrog,1
138,able,1
139,axe,1
140,criedwhatever,1
141,young,2
142,bid,2
143,nobody,1
144,water,4
145,stood,1
146,far,1
147,little,1
148,world,11
149,may,1
150,find,1
151,console,1
152,work,1
153,get,2
154,said,10
155,nasty,2
156,till,5
157,promiselast,1
158,heard,2
159,knew,1
160,whatever,1
161,chop,1
162,something,1
163,goggle,1
164,dearie,1
165,behold,1
166,marry,1
167,bent,1
168,arrived,1
169,nothingevening,1
170,bed,1
171,bowl,1
172,angry,1
173,handsome,1
174,sate,1
175,pleased,1
176,sure,1
177,promiseright,1
178,tapping,1
179,married,3
180,away,2
181,prince,4
182,promise,3
183,looked,2
184,wasnt,2
185,got,1
186,must,3
187,magician,1
188,clay,1
189,night,2
190,froggirl,2
191,lifted,1
192,bread,1
193,dear,2
194,chopped,1
195,speakingwhats,1
196,last,4
197,fill,2
198,back,1
199,good,1
200,enchanted,1
201,popped,1
202,fillgirl,1
203,woe,1
204,hop,1
205,cried,2
206,stepdaughter,2
207,cold,2
