,0,1
0,stick—so,1
1,morning,3
2,widow,1
3,left,1
4,ham,1
5,still,1
6,joiner,2
7,place,2
8,girl,4
9,say,2
10,floor,1
11,fortune,1
12,manger,1
13,keep,2
14,hast,1
15,bankthank,1
16,crack,1
17,lad,5
18,fetched,1
19,going,1
20,apron,2
21,best,1
22,middle,1
23,rage,1
24,done,1
25,true,1
26,accordingly,1
27,leave,1
28,nothing,1
29,took,1
30,watched,1
31,day,2
32,let,1
33,prostrate,1
34,cry,1
35,next,2
36,asked,1
37,caught,1
38,opened,1
39,make,1
40,held,1
41,diamondstick,1
42,pull,1
43,fled,1
44,assist,1
45,obeyed,1
46,change,1
47,head,2
48,carried,1
49,hand,3
50,reply,1
51,reached,1
52,worthless,1
53,could,1
54,maiden,1
55,wall,1
56,serve,2
57,tell,1
58,pennystand,1
59,presented,2
60,stable,3
61,senseless,1
62,bade,2
63,get,1
64,drinkjack,1
65,everything,1
66,fettled,1
67,filled,2
68,front,1
69,wiser,1
70,precious,1
71,nothingnight,1
72,egg,1
73,arrived,1
74,begin,1
75,groaning,1
76,bang,4
77,warmingpan,1
78,silver,4
79,shoulder,1
80,beg,1
81,beforehand,1
82,ee—aw,1
83,passed,1
84,son,2
85,cudgel,2
86,appeared,1
87,arm,1
88,tickled,1
89,hitched,2
90,fast,1
91,obtained,1
92,without,2
93,ah,1
94,look,1
95,rapped,1
96,breath,1
97,weight,1
98,pay,3
99,tear,1
100,bare,1
101,ran,8
102,eat,1
103,dinner,1
104,richest,2
105,today,1
106,call,1
107,dayyear,1
108,shall,2
109,remained,1
110,covered,2
111,belaboured,1
112,line,1
113,lass,4
114,saying,1
115,speaking,1
116,warmed,1
117,as,6
118,much,1
119,seemed,1
120,one,2
121,door,2
122,coveredtable,1
123,telling,1
124,hungry,1
125,father,10
126,green,1
127,casting,1
128,neddys,1
129,youre,1
130,goodnatured,1
131,biddinglet,1
132,run,2
133,exchanged,1
134,like,1
135,knock,1
136,turkey,1
137,rode,2
138,full,2
139,see,1
140,shop,1
141,stick,6
142,little,1
143,aside,1
144,heehawed,2
145,spread,2
146,refused,1
147,poured,1
148,rib,1
149,said,10
150,overjoyed,1
151,known,1
152,wide,1
153,farther,1
154,that—come,1
155,think,1
156,leaped,1
157,branch,1
158,sausage,1
159,called,1
160,battered,1
161,pleased,1
162,likely,2
163,housemust,1
164,guinealad,1
165,shouted,1
166,named,1
167,dropped,2
168,golden,1
169,good,1
170,thee,1
171,house,5
172,put,1
173,give,1
174,innkeeper,1
175,went,3
176,seek,1
177,along,1
178,well,5
179,wood,1
180,soon,1
181,rest,1
182,mouth,1
183,lot,1
184,pulled,5
185,take,2
186,roughly,1
187,jack,16
188,love,1
189,stolen,1
190,found,1
191,word,1
192,pardon,1
193,boy,2
194,though,1
195,near,1
196,copper,1
197,street,1
198,replied,1
199,brought,2
200,would,4
201,knife,1
202,never,1
203,daughter,1
204,running,1
205,home,4
206,wealth,1
207,money,4
208,making,1
209,pavement,1
210,longer,1
211,poor,2
212,carpenter,1
213,publican,3
214,made,2
215,two,2
216,eggham,1
217,beat,1
218,attic,1
219,potato,1
220,till,10
221,paid,1
222,set,2
223,master,1
224,marry,4
225,neddy,2
226,whereupon,1
227,received,1
228,tore,1
229,away,5
230,exclaimed,5
231,promise,1
232,none,1
233,got,1
234,friend,1
235,rooted,1
236,inn,3
237,town,1
238,back,5
239,crown,2
240,river,2
241,agreed,2
242,better,1
243,lap,1
244,howling,1
245,year,1
246,fall,1
247,bridge,1
248,tumbled,1
249,host,2
250,cap,1
251,askedunless,1
252,flew,1
253,servant,1
254,cheek,1
255,tomorrow,1
256,returned,1
257,room,1
258,treehead,1
259,brayed,1
260,knowing,1
261,angerlad,1
262,threw,1
263,mind,1
264,art,1
265,right,1
266,fell,1
267,man,4
268,dead,1
269,moneysoon,1
270,manlad,1
271,old,3
272,open,1
273,woman,2
274,gold,2
275,bruised,1
276,came,5
277,burst,1
278,guinea,1
279,knocked,1
280,served,2
281,sweetheart,1
282,wage,3
283,ear,4
284,ass,1
285,eye,1
286,thou,2
287,twelvemonth,2
288,tree,4
289,gold—stand,1
290,galloped,1
291,table,10
292,dwelt,1
293,long,1
294,ordered,1
295,may,1
296,among,1
297,sixpence,1
298,neither,1
299,truelove,1
300,hayfork,1
301,worldran,1
302,climbed,1
303,mutton,1
304,picked,2
305,apronnext,1
306,top,1
307,roast,1
308,club,1
309,rolling,1
310,gathering,1
311,vain,1
312,night,1
313,illtreatment,1
314,half,2
315,unhappy,1
316,pocket,1
317,bestsorry,1
318,youth,1
319,come,1
320,nought,1
321,across,1
