,0,1
0,give,1
1,didnt,1
2,tommyah,1
3,went,4
4,arm,1
5,waiting,1
6,goright,1
7,hadnt,1
8,well,1
9,shant,1
10,boymeat,1
11,herb,3
12,pot,3
13,forgot,2
14,still,2
15,puttommy,1
16,miaccamr,1
17,without,2
18,upside,1
19,ah,1
20,saw,1
21,look,1
22,pelter,1
23,chopper,1
24,supper,3
25,answered,1
26,always,2
27,dearoh,1
28,suppermostly,1
29,mother,1
30,say,5
31,pulled,1
32,wait,1
33,mr,16
34,take,1
35,taste,2
36,leaving,1
37,room,2
38,creep,1
39,ran,2
40,want,1
41,love,2
42,missus,1
43,enough,3
44,couldnt,1
45,crept,1
46,getthats,1
47,call,1
48,shall,1
49,felt,1
50,ye,1
51,puddingmother,1
52,mind,1
53,boil,2
54,going,1
55,right,1
56,put,2
57,im,1
58,giving,1
59,tired,1
60,boy,10
61,watch,2
62,waited,3
63,used,1
64,go,3
65,took,2
66,sally,4
67,day,4
68,many,1
69,old,1
70,shed,1
71,scarcely,2
72,came,1
73,ill,3
74,thoughtful,1
75,one,2
76,street,3
77,leg,4
78,next,1
79,asked,1
80,dye,1
81,door,1
82,youngster,1
83,ask,1
84,inside,1
85,sofa,4
86,sat,1
87,served,1
88,would,2
89,sometimes,2
90,corner,4
91,never,2
92,home,1
93,u,2
94,tough,1
95,grime,5
96,luck,1
97,miacca,17
98,making,1
99,bag,3
100,longer,1
101,glad,1
102,youre,3
103,could,1
104,long,2
105,body,1
106,like,1
107,potsuddenly,1
108,else,2
109,dont,2
110,pop,1
111,nobody,1
112,little,3
113,sliptommy,1
114,pudding,3
115,grabbed,1
116,trick,1
117,get,4
118,said,8
119,youll,2
120,boilpoor,1
121,till,2
122,alone,1
123,round,5
124,set,2
125,shabby,1
126,here,1
127,tommy,7
128,called,1
129,housemr,1
130,rather,1
131,sure,3
132,homegot,1
133,bitter,1
134,got,6
135,ive,3
136,catch,1
137,chopped,1
138,dear,2
139,dropped,1
140,gotommy,1
141,last,1
142,boiled,1
143,back,1
144,good,5
145,bad,6
146,another,1
147,waydont,1
148,cheap,1
149,popped,2
150,stop,1
151,suppertommy,1
152,often,1
153,run,1
154,anything,1
