,0,1
0,give,2
1,went,3
2,ground,1
3,spring,1
4,third,2
5,lap,2
6,fine,1
7,wood,1
8,sweet,2
9,moment,1
10,flowered,1
11,beautiful,3
12,wife,1
13,started,1
14,without,1
15,picking,1
16,pound,1
17,fetch,2
18,millstone,7
19,supper,1
20,stepmother,7
21,cross,1
22,gave,4
23,voice,1
24,tool,3
25,garden,1
26,hated,2
27,mother,1
28,girl,4
29,boxone,1
30,flew,5
31,combed,1
32,pretended,1
33,shoe,5
34,wanted,1
35,tear,1
36,every,1
37,white,2
38,ran,7
39,eat,1
40,sister,1
41,neck,2
42,spent,1
43,beauty,1
44,laughedtook,1
45,loved,1
46,buried,1
47,laid,4
48,lookedthird,1
49,bunch,3
50,fetched,1
51,lost,1
52,knee,2
53,sang,5
54,mind,1
55,milk,1
56,right,1
57,fell,3
58,tried,1
59,red,3
60,loss,1
61,time,2
62,cobbler,2
63,boy,3
64,wicked,2
65,bird,9
66,watch,3
67,stile,3
68,go,1
69,took,2
70,heart,1
71,sangone,1
72,man,3
73,day,3
74,saying,1
75,silken,1
76,perhaps,1
77,angel,1
78,part,3
79,woman,2
80,fear,1
81,liver,1
82,bought,1
83,tasted,2
84,watchmaker,2
85,gold,2
86,grocer,3
87,came,5
88,outside,1
89,one,5
90,cry,1
91,groundstepmother,1
92,candlestepmother,1
93,miller,3
94,stepped,1
95,brother,1
96,asked,2
97,door,1
98,brought,3
99,foot,3
100,wept,1
101,box,2
102,proceeded,2
103,would,1
104,upon,1
105,silk,1
106,whist,1
107,chain,4
108,lay,2
109,oh,1
110,jeweller,1
111,home,1
112,stewed,1
113,repeated,1
114,died,1
115,eaves,3
116,tree,5
117,u,1
118,father,2
119,head,6
120,climb,1
121,hand,1
122,yellow,1
123,money,2
124,rosetree,2
125,making,1
126,worksecond,1
127,cherry,1
128,hairwell,1
129,like,3
130,wiped,1
131,husband,1
132,thus,1
133,candle,4
134,comb,3
135,flower,1
136,see,2
137,two,1
138,shop,2
139,three,2
140,billet,2
141,axe,3
142,first,3
143,rattled,3
144,little,8
145,aside,1
146,may,1
147,whilst,2
148,shoemaker,1
149,refused,1
150,hair,7
151,said,9
152,second,2
153,dog,2
154,till,1
155,among,1
156,front,1
157,happened,1
158,men,2
159,round,2
160,strangely,1
161,thunder,6
162,neckran,1
163,lookedthree,1
164,fetchedsaid,1
165,set,1
166,perched,2
167,sing,2
168,something,1
169,dearly,1
170,rolled,1
171,force,1
172,laughing,1
173,thing,1
174,child,3
175,angry,1
176,return,1
177,away,3
178,looked,1
179,heaven,1
180,sangoh,1
181,hard,1
182,got,3
183,buy,1
184,lip,1
185,sangsing,1
186,song,6
187,son,1
188,dropped,1
189,golden,2
190,come,1
191,back,1
192,good,1
193,candlewent,2
194,shook,1
195,cried,1
196,house,4
197,put,4
198,hung,1
