,0,1
0,didnt,1
1,iron,4
2,several,2
3,went,2
4,volume,1
5,mirror,2
6,spoken,1
7,dismissed,1
8,secret,1
9,moment,1
10,spiritual,1
11,manmaster,1
12,vainly,1
13,ink,1
14,fast,1
15,pointing,1
16,great,2
17,pot,1
18,left,1
19,still,4
20,gasped,1
21,waist,1
22,look,1
23,saw,1
24,written,1
25,spirit,3
26,cried,2
27,shell,2
28,evil,2
29,know,3
30,yon,2
31,calf,1
32,apparatus,1
33,darkened,1
34,voice,1
35,instantly,1
36,trembled,2
37,task,3
38,anyone,1
39,floor,3
40,finger,2
41,servant,1
42,booklooked,1
43,locked,2
44,window,1
45,clasped,1
46,roomone,1
47,strangle,1
48,remembered,1
49,plain,1
50,breaking,1
51,function,1
52,breathing,1
53,returned,2
54,room,5
55,despair,1
56,told,2
57,contained,1
58,pouring,1
59,enough,1
60,geranium,1
61,foolish,1
62,word,4
63,power,1
64,lad,5
65,bound,1
66,fire,1
67,shall,1
68,fetched,1
69,big,1
70,sang,1
71,knee,1
72,swirled,1
73,desired,1
74,unclosed,1
75,murmuring,1
76,right,1
77,drowned,1
78,forgotten,1
79,tried,1
80,red,1
81,turn,1
82,boy,3
83,line,1
84,might,4
85,nothing,2
86,lock,1
87,burned,1
88,therefore,1
89,man,1
90,day,2
91,many,2
92,content,1
93,flesh,1
94,sea,1
95,old,1
96,angel,2
97,unknown,1
98,learned,1
99,gold,2
100,copper,2
101,rushed,2
102,much,1
103,putting,1
104,came,1
105,crucible,1
106,around,1
107,breast,1
108,one,1
109,stepped,1
110,imposed,1
111,suffered,1
112,chamber,1
113,foot,1
114,book,5
115,key,1
116,furnaceboy,1
117,demon,3
118,glass,1
119,hardly,1
120,corner,1
121,would,3
122,language,1
123,never,1
124,private,1
125,eye,1
126,held,1
127,ear,2
128,unlocked,1
129,labour,1
130,armpit,1
131,spoke,1
132,sun,1
133,curious,1
134,distant,1
135,scrambled,1
136,home,1
137,theelad,1
138,rank,1
139,instant,1
140,smoke,1
141,quire,1
142,heeded,1
143,chained,2
144,pupil,2
145,chin,1
146,summoned,1
147,table,2
148,hand,1
149,bringing,1
150,reached,1
151,kept,2
152,rose,2
153,could,4
154,long,1
155,silver—he,1
156,shore,1
157,clap,1
158,touched,1
159,acquainted,1
160,indistinct,1
161,like,3
162,taskwater,1
163,marched,1
164,produced,1
165,unfastened,1
166,see,2
167,speak,1
168,flower,2
169,full,1
170,made,1
171,passing,1
172,dont,1
173,enter,1
174,water,5
175,stood,3
176,washed,1
177,world,2
178,passage,1
179,poured,3
180,hair,1
181,barrel,2
182,said,2
183,till,1
184,mounted,1
185,round,1
186,thunder,1
187,knew,1
188,set,1
189,master,6
190,towards,1
191,rolled,1
192,forth,1
193,creation,1
194,cast,1
195,horrible,2
196,lead,2
197,send,1
198,serveset,1
199,journey,1
200,throat,1
201,called,1
202,spelledroom,1
203,fiery,1
204,whispered,1
205,cloud,1
206,black,3
207,bubbling,1
208,away,1
209,form,1
210,mystery,1
211,silver,1
212,slave,1
213,utter,1
214,looked,1
215,heaven,1
216,read,2
217,none,1
218,vain,2
219,burning,1
220,passed,1
221,roaring,1
222,changing,1
223,stoodset,1
224,name,2
225,beelzebub,3
226,wondrous,1
227,tabletop,1
228,yorkshire,1
229,acted,1
230,back,2
231,ankledeepenough,1
232,waterrose,1
233,lamp,1
234,another,1
235,understand,1
236,hurried,1
237,house,1
238,put,1
239,northcountry,1
