,0,1
0,carrying,1
1,iron,2
2,hip,1
3,neckaihhh—late—weeee—moul,1
4,arm,2
5,knee,1
6,big,2
7,thigh,1
8,armstill,1
9,waiststill,1
10,kneestill,1
11,head,1
12,flail,2
13,reeled,11
14,huge,12
15,hand,1
16,solstill,1
17,knowledge,2
18,still,23
19,sitting,3
20,weeeemoul,1
21,hipmuch,1
22,waist,1
23,womanmuch,1
24,thighstill,1
25,legstill,1
26,reel,1
27,wished,11
28,woman,1
29,shoulderstill,2
30,pitifullyget,1
31,armaihhh—late—and,1
32,pair,8
33,shoulder,1
34,stamp,1
35,much,4
36,grufflyget,4
37,piouslyget,1
38,voice,1
39,praying,2
40,kneemuch,1
41,one,1
42,firesidestill,1
43,leg,1
44,tramping,2
45,whininglyget,4
46,broom,2
47,foot,2
48,companycame,11
49,neckget,1
50,wee,6
51,quoth,1
52,thighaihhh—late—and,1
53,night,1
54,keenlycometop,1
55,waistaihhh—late—and,1
56,sat,22
57,thin,6
58,shouldercarrying,1
59,wave,1
60,neck,1
61,hipstill,1
62,legaihhhlate—and,1
63,weeee—moul,3
64,broad,14
65,threshing,1
66,headmuch,1
67,thick,6
68,handthreshing,1
69,small,18
70,sol,1
