,0,1
0,didnt,1
1,behind,3
2,went,12
3,seek,1
4,along,1
5,third,3
6,better,1
7,cracking,3
8,well,5
9,rise,2
10,fine,1
11,cockcrow,1
12,sweet,1
13,wrapped,1
14,moment,1
15,morning,5
16,pot,4
17,seen,2
18,kind,1
19,fall,2
20,beautiful,1
21,soon,1
22,clock,1
23,instead,1
24,without,1
25,picking,1
26,saw,3
27,lived,1
28,stroke,1
29,plucked,1
30,led,1
31,cried,1
32,dancing,3
33,gave,3
34,dry,1
35,anyone,1
36,girl,2
37,say,2
38,fortune,1
39,forest,1
40,locked,1
41,room,1
42,lassie,3
43,eat,1
44,cappy,1
45,sister,6
46,told,4
47,wand,4
48,overhears,1
49,face,1
50,byandby,1
51,followed,1
52,love,1
53,keep,1
54,beauty,1
55,pretty,3
56,spoil,1
57,minnie,2
58,brave,1
59,jealous,1
60,loved,1
61,unless,1
62,found,3
63,alongcame,1
64,fire,3
65,waycame,1
66,satisfied,1
67,sick,8
68,folk,1
69,boil,1
70,bridle,1
71,apron,2
72,happy,2
73,toddled,1
74,land,1
75,fastingnext,1
76,castle,2
77,drew,1
78,fell,2
79,however,2
80,countryfolk,1
81,done,1
82,time,6
83,anne,9
84,slip,1
85,watch,2
86,handful,1
87,savoury,1
88,used,1
89,go,5
90,nothing,2
91,took,6
92,watched,2
93,day,1
94,many,2
95,wont,1
96,let,2
97,open,2
98,though,1
99,jump,1
100,hound,2
101,sit,1
102,consented,1
103,gold,1
104,rushed,1
105,couch,1
106,pea,2
107,magnificent,1
108,came,4
109,bonnier,2
110,sent,1
111,one,6
112,homedaughter,1
113,kates,1
114,next,3
115,hill,4
116,asked,2
117,door,3
118,brother,1
119,midnight,2
120,nut,9
121,ask,1
122,sickening,1
123,cock,1
124,bite,7
125,knocked,1
126,real,1
127,sat,2
128,plucking,1
129,together,1
130,would,6
131,kate,25
132,upon,2
133,never,2
134,sheep,2
135,behindimmediately,1
136,spoke,2
137,lodging,1
138,opened,1
139,make,2
140,daughter,3
141,smell,1
142,meanwhile,2
143,sun,1
144,lift,2
145,oh,3
146,curious,1
147,home,6
148,arose,1
149,aproncockcrow,1
150,kitchen,1
151,sittill,1
152,died,1
153,king,5
154,larder,1
155,pas,1
156,tree,1
157,feather,1
158,head,3
159,leapt,1
160,death,1
161,noticed,1
162,hand,1
163,peck,2
164,cloth,1
165,glen,1
166,rose,3
167,rare,1
168,green,4
169,queen,8
170,could,3
171,longer,1
172,saddle,1
173,jumped,2
174,lid,4
175,hid,1
176,touched,1
177,birdie,8
178,like,1
179,tell,2
180,added,1
181,bonnie,1
182,cooked,1
183,twelve,1
184,see,4
185,rode,6
186,entered,1
187,ball,1
188,princess,1
189,two,2
190,ring,1
191,fan,1
192,made,1
193,three,3
194,annie,1
195,young,2
196,first,2
197,henwifes,2
198,stable,1
199,far,1
200,greenwood,1
201,offered,2
202,find,1
203,lady,1
204,get,2
205,said,9
206,second,1
207,youll,1
208,queenthird,1
209,till,6
210,nasty,1
211,fallen,1
212,happened,2
213,round,1
214,surrounded,1
215,linen,1
216,hall,1
217,horse,2
218,heard,1
219,knew,2
220,set,2
221,baby,5
222,wish,1
223,everybody,1
224,lighted,1
225,something,1
226,playing,2
227,rolled,3
228,marry,1
229,cast,1
230,send,1
231,egg,2
232,crew,1
233,dancinglast,1
234,bed,1
235,ate,1
236,lightly,1
237,seem,1
238,called,1
239,fairy,9
240,sitting,1
241,angry,1
242,counsel,1
243,filling,1
244,downstairs,1
245,dressed,1
246,away,5
247,saddled,1
248,married,2
249,katie,1
250,silver,1
251,prince,16
252,headqueen,1
253,fasting,1
254,gathering,1
255,got,2
256,dress,1
257,named,1
258,passed,3
259,notice,1
260,ever,2
261,son,3
262,lifted,2
263,night,7
264,haste,1
265,horseback,1
266,elbow,1
267,dear,1
268,crust,1
269,dance,5
270,dropped,1
271,munched,1
272,roadside,1
273,back,1
274,good,1
275,another,4
276,brightly,1
277,ailed,1
278,henwife,7
279,whoever,1
280,drank,1
281,stop,1
282,thing,1
283,quite,2
284,put,2
285,early,1
286,self,1
