,0,1
0,went,3
1,jarredsaid,1
2,fine,1
3,rick,1
4,pot,2
5,beautiful,1
6,great,1
7,upset,3
8,without,1
9,break,1
10,dropt,1
11,spill,3
12,tumbled,2
13,saw,2
14,creaksaid,1
15,supper,2
16,girl,5
17,window,12
18,creak,6
19,stool,13
20,cottage,1
21,room,1
22,ran,1
23,sister,2
24,cornleased,1
25,neck,3
26,weep,2
27,pretty,1
28,buried,1
29,jug,1
30,carrying,1
31,threelegged,1
32,scalded,1
33,milk,5
34,put,2
35,fell,2
36,bird,6
37,boiltitty,1
38,feathersaid,1
39,broke,2
40,leasingwent,1
41,go,1
42,man,3
43,dead,9
44,hoppedbroom,1
45,old,10
46,shed,6
47,walking,1
48,outside,1
49,ill,9
50,one,1
51,leasingtitty,1
52,brother,2
53,door,12
54,bough,1
55,ruin,1
56,wept,1
57,sat,1
58,knocked,2
59,titty,10
60,corner,1
61,ear,3
62,oh,7
63,weeps,8
64,feather,5
65,tree,3
66,leaf,6
67,spilling,1
68,leafsaid,1
69,falling,1
70,pitcher,1
71,green,1
72,poor,2
73,corn,1
74,made,2
75,broom,12
76,sweep,9
77,leasing,1
78,jar,7
79,beneath,1
80,little,13
81,pudding,2
82,said,20
83,tumble,1
84,thatching,1
85,round,7
86,tatty,14
87,jarsaid,1
88,perched,1
89,puddingtatty,1
90,large,1
91,ladder,3
92,spilt,1
93,mouse,8
94,leased,2
95,deathtatty,1
96,creaked,2
97,top,1
98,milkoh,1
99,housesaid,1
100,moulted,1
101,began,1
102,form,11
103,sweepsaid,1
104,must,1
105,moult,5
106,mean,1
107,growing,1
108,crash,1
109,corntitty,1
110,hop,10
111,puddingmade,1
112,house,9
113,run,6
114,walnuttree,7
