,0,1
0,iron,5
1,clutch,1
2,throttled,1
3,morning,9
4,horrid,1
5,bosom,1
6,left,2
7,great,7
8,break,2
9,hilt,1
10,splutter,1
11,bury,1
12,written,2
13,familiar,1
14,led,2
15,hearty,1
16,place,4
17,jackreplied,1
18,creditor,2
19,letter,2
20,stead,1
21,groundearly,1
22,tool,1
23,magistrate,2
24,fortune,1
25,wait,1
26,beheld,4
27,late,1
28,help,1
29,leaving,1
30,valley,1
31,muttering,1
32,lob,1
33,taking,3
34,bestowed,1
35,reign,1
36,followed,2
37,keep,2
38,pretty,1
39,weary,1
40,laid,2
41,destructioncastle,1
42,shared,1
43,terror,2
44,faith,1
45,vanished,1
46,fetched,2
47,lost,2
48,acoming,1
49,desired,1
50,going,1
51,owed,2
52,best,2
53,hurself,1
54,principality,1
55,middle,3
56,done,3
57,tried,1
58,shelter,1
59,brutish,1
60,leave,1
61,nothing,4
62,go,4
63,took,6
64,living,1
65,wallowed,1
66,seven,2
67,day,9
68,village,1
69,trumpet,2
70,immediately,1
71,let,6
72,weighty,1
73,confusion,1
74,block,1
75,friendship,1
76,vast,3
77,sent,3
78,cry,1
79,sundry,1
80,next,6
81,miller,1
82,estate,1
83,asked,4
84,bough,1
85,thunderdells,1
86,uttered,1
87,despairone,1
88,magic,2
89,gentleman,2
90,diet,1
91,yes,1
92,drawn,1
93,private,1
94,lord,2
95,opened,1
96,make,2
97,furnished,1
98,unlocked,1
99,lay,3
100,hur,2
101,covering,1
102,debt,1
103,awakened,1
104,died,1
105,travel,1
106,immense,1
107,human,1
108,bestow,1
109,conjurer,3
110,month,1
111,condition,1
112,head,17
113,keeping,1
114,ado,1
115,carried,2
116,hasty,2
117,hand,4
118,knowledge,1
119,captivitykept,1
120,goldnews,1
121,sleeping,1
122,bringing,1
123,prepare,1
124,standing,2
125,reached,1
126,kept,2
127,could,8
128,villain,2
129,spotjack,1
130,sum,2
131,clap,1
132,serve,1
133,kiss,3
134,cousin,3
135,tell,2
136,presented,1
137,else,1
138,three,6
139,foamed,1
140,west,1
141,begun,1
142,first,1
143,nobody,1
144,deep,2
145,roused,1
146,find,3
147,pudding,3
148,narrow,1
149,trick,3
150,prevailed,1
151,get,2
152,opposite,1
153,overtook,1
154,filled,2
155,snow,1
156,lose,2
157,malice,1
158,air,2
159,prepared,2
160,whatever,2
161,precious,1
162,large,8
163,dined,1
164,windoh,1
165,here,1
166,lively,1
167,laughing,1
168,jackwaiting,1
169,forth,1
170,markettown,1
171,thing,1
172,bolt,1
173,tallowdips,1
174,bed,5
175,reason,1
176,journey,4
177,arrived,1
178,account,2
179,nose,1
180,paved,1
181,lightly,1
182,midst,3
183,portionmidnight,1
184,mountain,3
185,turning,1
186,black,1
187,ashore,1
188,placed,2
189,began,2
190,married,2
191,exploit,1
192,shoulder,2
193,mile,3
194,silver,3
195,wale,3
196,giant,60
197,shake,2
198,hope,1
199,must,2
200,lip,2
201,passed,3
202,crowd,1
203,teethmatter,1
204,son,9
205,lucifer,4
206,false,1
207,rod,1
208,blood,1
209,catch,1
210,accomplish,1
211,indeed,1
212,grind,1
213,heavy,4
214,happiness,1
215,gotten,1
216,trembling,1
217,aim,1
218,appeared,2
219,coat,11
220,hide,1
221,cried,3
222,stooping,1
223,adder,1
224,rat,1
225,behind,1
226,arrested,1
227,thanked,1
228,fast,3
229,ladymorning,1
230,farfamed,1
231,engravedjack,1
232,obtained,2
233,instead,1
234,without,4
235,cartrope,1
236,saw,3
237,plunged,1
238,pastime,1
239,answered,1
240,meal,1
241,walejack,1
242,weight,1
243,trembled,1
244,straightway,1
245,forward,2
246,hundred,2
247,invisible,7
248,pay,2
249,locked,1
250,dreadful,1
251,treasure,3
252,courage,1
253,nay,1
254,plain,1
255,shalt,1
256,aged,1
257,tear,1
258,kingdom,1
259,deadhappened,1
260,whojack,1
261,every,3
262,ran,3
263,armour,3
264,handkerchief,4
265,white,2
266,country,1
267,whirlwind,1
268,face,1
269,habitation,1
270,witness,1
271,satisfaction,1
272,sight,1
273,perceived,1
274,hear,1
275,entering,1
276,beam,1
