,0,1
0,give,2
1,went,5
2,agreed,1
3,along,2
4,compelled,1
5,hearth,1
6,beautiful,1
7,great,2
8,patience,1
9,ninneyhammer,1
10,lived,4
11,bask,1
12,tomcat,1
13,jacknext,1
14,sticking,1
15,gave,2
16,rich,2
17,recovered,1
18,hoist,1
19,laughter,1
20,mother,7
21,girl,1
22,silly,1
23,window,1
24,cream,1
25,present,1
26,completely,1
27,porridge,1
28,dinner,1
29,told,1
30,jack,17
31,slowly,1
32,jacket,1
33,hired,6
34,sight,1
35,found,1
36,carrying,1
37,fit,1
38,lost,2
39,milk,1
40,spinning,1
41,service,1
42,strange,1
43,lazy,5
44,turn,1
45,whose,1
46,time,10
47,boy,2
48,prize,1
49,nothing,2
50,go,1
51,took,4
52,living,2
53,man,1
54,hot,1
55,day,3
56,brook,1
57,deaf,1
58,immediately,1
59,old,2
60,let,1
61,rewarded,1
62,part,2
63,common,1
64,woman,2
65,sit,1
66,much,1
67,walking,1
68,ill,5
69,one,1
70,next,2
71,spoilt,2
72,leg,1
73,comical,1
74,burst,1
75,replied,3
76,jackfriday,1
77,speech,1
78,jackwednesday,1
79,cat,1
80,dumb,1
81,wintertime,1
82,dragged,1
83,butcher,1
84,gentleman,1
85,would,4
86,corner,1
87,upon,1
88,never,3
89,evening,1
90,make,1
91,neighbouring,1
92,daughter,1
93,tied,2
94,sun,1
95,home,7
96,fulfilled,1
97,string,2
98,somebody,1
99,life,1
100,died,1
101,farmer,2
102,spilling,1
103,matted,1
104,father,1
105,head,2
106,marrying,1
107,carried,3
108,hand,2
109,money,1
110,carefully,2
111,could,1
112,long,1
113,poor,1
114,looking,1
115,thus,1
116,speak,1
117,made,2
118,passing,2
119,young,1
120,jacksaturday,1
121,trouble,1
122,cowkeeper,1
123,jar,2
124,coming,1
125,pussy,1
126,cabbage,1
127,hair,1
128,baker,1
129,get,2
130,work,3
131,said,8
132,lady,1
133,till,1
134,cheese,3
135,overjoyed,1
136,short,1
137,happened,2
138,air,1
139,trailed,1
140,scratched,1
141,laugh,1
142,large,3
143,cattlekeeper,1
144,doctor,1
145,mutton,2
146,obliged,1
147,journey,1
148,called,1
149,begin,1
150,course,1
151,stupid,2
152,handsome,1
153,donkey,3
154,penny,1
155,lout,1
156,jackthursday,1
157,began,2
158,shoulder,4
159,monday,2
160,promise,1
161,dirt,1
162,hard,1
163,got,5
164,couldroused,1
165,meat,1
166,son,1
167,dear,1
168,name,1
169,last,2
170,pocket,2
171,happiness,1
172,hearing,1
173,fellow,1
174,another,5
175,sunday,1
176,laughed,1
177,weather,1
178,quite,1
179,house,1
180,put,2
181,anything,1
