,0,1
0,morning,1
1,great,1
2,bore,1
3,familiar,2
4,advised,1
5,place,2
6,stepmother,3
7,fortune,1
8,wait,1
9,help,1
10,airsoon,1
11,followed,1
12,keep,3
13,excepted,1
14,crept,2
15,milk,2
16,going,2
17,stone,1
18,spelllady,1
19,go,1
20,took,2
21,seven,2
22,day,3
23,troubled,1
24,punished,1
25,ill,1
26,least,1
27,sent,1
28,next,1
29,asked,1
30,caught,1
31,wynds,1
32,hour,1
33,magic,2
34,terrible,2
35,drawn,1
36,uncoiled,1
37,admiration,1
38,lay,1
39,died,1
40,became,2
41,change,2
42,hand,2
43,reached,2
44,kept,2
45,queen,8
46,maiden,2
47,could,1
48,three,3
49,bravely,1
50,slay,1
51,everything,1
52,deed,1
53,muttered,1
54,imp,3
55,jaw,1
56,crawled,2
57,forth,3
58,send,1
59,bed,2
60,reason,1
61,nine,2
62,drop,1
63,coiled,2
64,must,2
65,nohow,1
66,dipping,1
67,son,1
68,cried,2
69,cloak,1
70,seen,1
71,instead,1
72,saw,1
73,breath,1
74,creek,1
75,mother,3
76,rushing,1
77,dreadful,1
78,every,1
79,ran,1
80,country,3
81,afterwardsday,1
82,heugh,3
83,loathsome,2
84,hear,1
85,power,3
86,ye,1
87,felt,1
88,drew,1
89,castle,5
90,wynddone,1
91,borrowed,1
92,manatarms,1
93,thought,1
94,hunger,2
95,much,1
96,rightly,1
97,one,2
98,resist,1
99,yet,1
100,beauteous,1
101,foot,1
102,snout,1
103,threeandthirty,1
104,shrivelled,2
105,sun,1
106,entrance,1
107,king,4
108,father,3
109,spindlestone,1
110,shore,3
111,banged,1
112,sooner,1
113,attempt,2
114,stayed,1
115,princess,4
116,trouble,1
117,sheer,1
118,aside,1
119,castleprincess,1
120,work,2
121,said,3
122,appointed,1
123,men,3
124,alone,1
125,knew,2
126,think,1
127,dragon,1
128,devour,1
129,witchery,1
130,warlock,2
131,rowan,3
132,surely,1
133,trough,1
134,built,1
135,named,2
136,budle,1
137,witchqueens,1
138,put,3
139,went,8
140,seek,1
141,ground,1
142,third,1
143,northern,1
144,noted,1
145,landed,2
146,step,1
147,soon,3
148,wife,1
149,kine,2
150,end,1
151,loveliest,1
152,determined,1
153,wrought,1
154,voice,1
155,flushed,1
156,really,1
157,mourned,1
158,swore,1
159,pulled,1
160,oath,2
161,worm,14
162,sister,3
163,love,1
164,found,2
165,rock,1
166,touch,1
167,cave,1
168,word,1
169,spindleston,1
170,monster,1
171,hiss,2
172,reared,1
173,menatarms,1
174,hopped,1
175,cruel,1
176,caused,1
177,might,1
178,used,1
179,gate,1
180,sayingchilde,1
181,rushed,1
182,near,5
183,margaret,8
184,neighbourhood,1
185,laidly,14
186,consulted,1
187,brother,1
188,oar,1
189,basking,1
190,drive,1
191,low,1
192,point,1
193,safe,1
194,would,1
195,never,1
196,daughter,1
197,haunting,1
198,home,1
199,gone,2
200,drove,1
201,given,1
202,summoned,1
203,rose,1
204,keel,2
205,longer,2
206,glad,1
207,shape,1
208,raise,2
209,bold,1
210,kissed,3
211,touched,2
212,two,1
213,made,3
214,rounded,1
215,escorted,1
216,coil,1
217,coming,1
218,offered,1
219,new,5
220,till,2
221,hissed,1
222,bow,1
223,heard,1
224,hold,1
225,set,1
226,sword,2
227,beautynight,1
228,bower,3
229,something,1
230,towards,2
231,ship,5
232,marry,1
233,croaked,1
234,cast,1
235,fight,1
236,away,2
237,staring,1
238,welcome,2
239,got,1
240,dress,1
241,strong,1
242,lonely,1
243,hurt,1
244,last,1
245,back,3
246,thats,1
247,row,1
248,twig,1
249,dungeon,1
250,wrapped,1
251,spell,3
252,kind,1
253,harbourship,1
254,lived,3
255,revenge,1
256,know,2
257,childe,15
258,courtesy,1
259,landingmoment,1
260,cheek,1
261,yield,1
262,told,1
263,handed,1
264,beauty,1
265,ugly,1
266,toad,3
267,happy,1
268,wherein,1
269,land,2
270,bidding,1
271,time,6
272,hull,1
273,wicked,1
274,sea,3
275,hunting,1
276,rescue,1
277,came,11
278,ready,2
279,bamborough,4
280,roar,1
281,key,3
282,keepgot,1
283,bring,1
284,eye,2
285,bespelled,1
286,pass,1
287,procession,1
288,tree,3
289,witch,3
290,wormchilde,1
291,wynd,15
292,huge,1
293,fair,1
294,taken,1
295,long,2
296,ordered,2
297,stood,2
298,mighty,2
299,witchqueen,2
300,lady,1
301,repine,1
302,sound,1
303,natural,1
304,round,2
305,hall,1
306,unfolded,1
307,urged,1
308,storm,1
309,horrible,1
310,bent,1
311,meet,1
312,child,1
313,blushing,1
314,faithfully,1
315,stole,1
316,news,1
317,knight,1
318,dear,1
319,come,2
320,shrieking,1
321,bowed,1
322,carry,1
323,stop,1
324,thing,1
325,across,2
